ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Accumulated depreciation,"ಸಂಚಿತ ಇಳಿತಾಯ, ಒಟ್ಟುಗೂಡಿಸಿದ ಇಳಿತಾಯ, ಸಂಚಿತ ಅಪಮೌಲ್ಯ",,,,,,,,,
,Accumulated loss,ಸಂಚಿತ ನಷ್ಟ,,,,,,,,,
,Accumulated reserve,ಸಂಚಿತ ಮೀಸಲು,,,,,,,,,
,Accuracy,"ನಿಖರತೆ, ಖಚಿತತೆ",,,,,,,,,
,Accusation,"ಆರೋಪಣೆ, ದೋಷಾರೋಪಣೆ, ದೂಷಣೆ",,,,,,,,,
,Accuse,"ಆರೋಪಿಸು, ದೋಷಾರೋಪಿಸು, ದೂಷಿಸು",,,,,,,,,
,Acknowledge,ತಲುಪಿದ ಬಗ್ಗೆ ತಿಳಿಸು,,,,,,,,,
,Acknowledgement,"ಸ್ವೀಕೃತಿ, ರಸೀತಿ, ತಲುಪೊಪ್ಪಿಗೆ",,,,,,,,,
,Acknowledgement due,ಸ್ವೀಕೃತಿ ನಿರೀಕ್ಷಿತ,,,,,,,,,
,Acquire,"ಗಳಿಸು, ಸ್ವಾಧೀನಪಡಿಸಿಕೋ",,,,,,,,,
,Acquisition,"ಗಳಿಕೆ, ಸ್ವಾಧೀನತೆ",,,,,,,,,
,Acquit,"ಖುಲಾಸೆ, ಬಿಡುಗಡೆ",,,,,,,,,
,Acquittance roll,ವೇತನಪಾವತಿ ಪಟ್ಟಿ,,,,,,,,,
,Act,"ಅಧಿನಿಯಮ, ಕೃತ್ಯ, ಕೆಲಸ",,,,,,,,,
,Act of law,ಕಾನೂನು ಕ್ರಿಯೆ,,,,,,,,,
,Act of misconduct,ದುರ್ವರ್ತನೆ ಕ್ರಿಯೆ,,,,,,,,,
,Action plan,ಕಾರ್ಯಯೋಜನೆ,,,,,,,,,
,Activator,"ಉತ್ತೇಜಕ, ಪ್ರೋತ್ಸಾಹಕ, ಪ್ರಚೋದಕ",,,,,,,,,
,Active consideration,ಸಕ್ರಿಯ ಪರಿಗಣನೆ,,,,,,,,,
,Actual consumption,"ವಾಸ್ತವಿಕ ಬಳಕೆ, ನಿಜವಾದ ಬಳಕೆ",,,,,,,,,
,Actual cost,"ನಿಜ ಬೆಲೆ, ವಾಸ್ತವಿಕ ಬೆಲೆ",,,,,,,,,
,Actual expense,"ವಾಸ್ತವಿಕ ವೆಚ್ಚ, ನಿಜವಾದ ವೆಚ್ಚ",,,,,,,,,
,Actuarial valuation,"ವಾಸ್ತವಿಕ ಮೌಲ್ಯಮಾಪನ, ವಿಮಾಗಣನೆ ಮೌಲ್ಯಮಾಪನ",,,,,,,,,
,Acute paucity,"ತೀವ್ರ ಅಭಾವ, ತೀವ್ರ ಕೊರತೆ",,,,,,,,,
,Ad interim,"ತಾತ್ಕಾಲಿಕ, ಏತನ್ಮಧ್ಯೆ",,,,,,,,,
,Ad-valorem,"ಮೌಲ್ಯಾನುಸಾರ, ಬೆಲೆಗೆ ತಕ್ಕಂತೆ",,,,,,,,,
,Adapt,ಅಳವಡಿಸಿಕೊಳ್ಳು,,,,,,,,,
,Addendum,ಜೋಡಿಕೆ,,,,,,,,,
,Additional,"ಹೆಚ್ಚುವರಿ, ಅಧಿಕ",,,,,,,,,
,Additional charge,"ಅಧಿಕ ಕಾರ್ಯಭಾರ, ಅಧಿಕ ಪ್ರಭಾರ, ಹೆಚ್ಚಿನ ಹೊಣೆ, ಹೆಚ್ಚುವರಿ ಹೊಣೆ",,,,,,,,,
,Additional deposit,ಹೆಚ್ಚುವರಿ ಠೇವಣಿ,,,,,,,,,
,Additional earthing,ಹೆಚ್ಚುವರಿ ಭೂಸಂಪರ್ಕನ,,,,,,,,,
,Additional inclusion,"ಹೆಚ್ಚಿನ ಸೇರ್ಪಡೆ, ಅಧಿಕ ಸೇರ್ಪಡೆ, ಹೆಚ್ಚಿನ ಸೇರಿಕೆ",,,,,,,,,
,Additional remuneration,ಹೆಚ್ಚುವರಿ ಸಂಭಾವನೆ,,,,,,,,,
,Additional security deposit,ಹೆಚ್ಚುವರಿ ಭದ್ರತಾ ಠೇವಣಿ,,,,,,,,,
,Addressee,ವಿಳಾಸದಾರ,,,,,,,,,
,Adequate capacity,ಪರ್ಯಾಪ್ತ ಸಾಮರ್ಥ್ಯ,,,,,,,,,
,Adequate storing,ಪರ್ಯಾಪ್ತ ದಾಸ್ತಾನು,,,,,,,,,
,Adherence,"ಅಂಟಿಕೊಂಡಿರುವುದು, ಬದ್ಧವಾಗಿರುವುದು",,,,,,,,,
,Adhesive tape,"ಅಂಟಿನ ಟೇಪು, ಅಂಟು ಟೇಪು",,,,,,,,,
,Adhoc committee,"ತದರ್ಥ ಸಮಿತಿ, ಅಡ್‌ಹಾಕ್‌ ಸಮಿತಿ, ಹಂಗಾಮಿ ಸಮಿತಿ",,,,,,,,,
,Adhoc payment,"ತದರ್ಥ ಪಾವತಿ, ಅಡ್‌ಹಾಕ್‌ ಪಾವತಿ, ಹಂಗಾಮಿ ಪಾವತಿ",,,,,,,,,
,Adjourn,"ಮುಂದೂಡು, ಮುಂದಕ್ಕೆ ಹಾಕು",,,,,,,,,
,Adjournment,"ಮುಂದೂಡಿಕೆ, ನಿಲುವಳಿ",,,,,,,,,
,Adjudication,"ನ್ಯಾಯನಿರ್ಣಯ, ತೀರ್ಪು ನೀಡಿಕೆ",,,,,,,,,
,Adjusting entry,ಹೊಂದಿಕೆ ನಮೂದು,,,,,,,,,
,Administrative approval,ಆಡಳಿತಾತ್ಮಕ ಅನುಮೋದನೆ,,,,,,,,,
,Administrative capacity,ಆಡಳಿತ ಸಾಮರ್ಥ್ಯ,,,,,,,,,
,Administrative clearance,"ಆಡಳಿತಾತ್ಮಕ ವಿಮೋಚನೆ, ಆಡಳಿತಾತ್ಮಕ ತೀರುವಳಿ, ವಿಲೆ",,,,,,,,,
,Administrative control,ಆಡಳಿತ ನಿಯಂತ್ರಣ,,,,,,,,,
,Administrative instruction,ಆಡಳಿತಾತ್ಮಕ ಸೂಚನೆ,,,,,,,,,
,Administrative reforms,ಆಡಳಿತ ಸುಧಾರಣೆ,,,,,,,,,
,Administrative setup,ಆಡಳಿತ ವ್ಯವಸ್ಥೆ,,,,,,,,,
,Admonition,ವಾಗ್ದಂಡನೆ,,,,,,,,,
,Adopt,"ಅಳವಡಿಸು, ಅಂಗೀಕರಿಸು, ಸ್ವೀಕರಿಸು, ದತ್ತು ತೆಗೆದುಕೋ",,,,,,,,,
,Adopted children,ದತ್ತು ಮಕ್ಕಳು,,,,,,,,,
,Adulteration,ಕಲಬೆರಕೆ,,,,,,,,,
,Adumbration,"ಹೆಗ್ಗುರುತು, ಸ್ಥೂಲ ನಿರ್ದೇಶನ",,,,,,,,,
,Advance copy,ಮುಂಗಡ ಪ್ರತಿ,,,,,,,,,
,Advance increment,ಮುಂಗಡ ವೇತನ ಬಡತಿ,,,,,,,,,
,Advance payment,ಮುಂಗಡ ಪಾವತಿ (ಸಂದಾಯ),,,,,,,,,
,Advance sample,ಮುಂಗಡ ನಮೂನೆ,,,,,,,,,
,Advance T.A.,ಮುಂಗಡ ಪ್ರಯಾಣ ಭತ್ಯೆ,,,,,,,,,
,Advanced study,ಉನ್ನತ ವ್ಯಾಸಂಗ,,,,,,,,,
,Adverse condition,ಪ್ರತಿಕೂಲ ಪರಿಸ್ಥಿತಿ,,,,,,,,,
,Adverse remark,ಪ್ರತಿಕೂಲ ಷರಾ,,,,,,,,,
,Adverse report,ಪ್ರತಿಕೂಲ ವರದಿ,,,,,,,,,
,Adverse witness,ಪ್ರತಿಕೂಲ ಸಾಕ್ಷಿ,,,,,,,,,
,Advertisement,ಜಾಹೀರಾತು,,,,,,,,,
,Advise note,ಸಲಹಾ ಟಿಪ್ಪಣಿ,,,,,,,,,
,Advisory board,ಸಲಹಾ ಮಂಡಳಿ,,,,,,,,,
,Advisory committee,ಸಲಹಾ ಸಮಿತಿ,,,,,,,,,
,Advisory council,ಸಲಹಾ ಪರಿಷತ್ತು,,,,,,,,,
,Aerial fuse,ಕಂಬದ ಮೇಲಿನ ಫ್ಯೂಸು,,,,,,,,,
,Aerial survey,"ವೈಮಾನಿಕ ಸಮೀಕ್ಷೆ, ಅಂತರಿಕ್ಷ ಸಮೀಕ್ಷೆ",,,,,,,,,
,Affected period,"ಪ್ರಭಾವಿತ ಅವಧಿ, ಬಾಧೆಗೊಳಗಾದ ಅವಧಿ",,,,,,,,,
,Affidavit,"ಪ್ರಮಾಣ ಪತ್ರ, ಶಪಥ ಪತ್ರ, ಅಫಿಡವಿಟ್",,,,,,,,,
,Affiliate,"ಮಾನ್ಯಮಾಡು, ಸಂಯೋಜಿಸು",,,,,,,,,
,Affirm,ಖಚಿತಪಡಿಸು,,,,,,,,,
,Affirmative,ಖಚಿತ,,,,,,,,,
,Afford,"ಒದಗಿಸು, ಸಮರ್ಥನಾಗಿರು",,,,,,,,,
,Aforesaid,"ಪೂರ್ವೋಕ್ತ, ಹಿಂದೆ ಹೇಳಿದ",,,,,,,,,
,Aforesaid rule,"ಪೂರ್ವೋಕ್ತ ನಿಯಮ, ಹಿಂದೆ ಹೇಳಿದ ನಿಯಮ",,,,,,,,,
,Age limit,ವಯೋಮಿತಿ,,,,,,,,,
,Age next birthday,ಮುಂದಿನ ಜನ್ಮ ದಿನಾಂಕದಂದು ವಯಸ್ಸು,,,,,,,,,
,Agency,"ಏಜೆನ್ಸಿ, ಕಾರ್ಯಭಾರ",,,,,,,,,
,Agency charge,"ಏಜೆನ್ಸಿ ಶುಲ್ಕ, ಏಜೆನ್ಸಿ ಚಾರ್ಜು",,,,,,,,,
,Agenda,ಕಾರ್ಯಸೂಚಿ,,,,,,,,,
,Agglomeration area,"ಏಕೀಕೃತ ಪ್ರದೇಶ, ಸೇರ್ಪಡೆ ಪ್ರದೇಶ",,,,,,,,,
,Aggravate,"ತೀವ್ರಗೊಳ್ಳು, ಉಲ್ಬಣಗೊಳ್ಳು",,,,,,,,,
,Aggregate capacity,ಒಟ್ಟಾರೆ ಸಾಮರ್ಥ್ಯ,,,,,,,,,
,Aggregate contract demand,ಒಟ್ಟಾರೆ ಒಪ್ಪಂದದ ಬೇಡಿಕೆ,,,,,,,,,
,Aggrieved consumer,"ಬಾಧಿತ ಬಳಕೆದಾರ, ನೊಂದ ಬಳಕೆದಾರ",,,,,,,,,
,Agitation,"ಆಂದೋಲನ, ಚಳವಳಿ",,,,,,,,,
,Agony,"ಯಾತನೆ, ಸಂಕಟ, ನೋವು",,,,,,,,,
,Agreement,ಒಪ್ಪಂದ,,,,,,,,,
,Aid,"ನೆರವು, ಸಹಾಯ",,,,,,,,,
,Aided institution,"ಅನುದಾನಿತ ಸಂಸ್ಥೆ, ಸಹಾಯಪಡೆದ ಸಂಸ್ಥೆ",,,,,,,,,
,Ailment,"ರೋಗ, ಕಾಯಿಲೆ, ವ್ಯಾಧಿ",,,,,,,,,
,Aims and objects,ಧ್ಯೇಯೋದ್ದೇಶಗಳು,,,,,,,,,
,Air break switch,"ಗಾಳಿ ತಡೆ ಸ್ವಿಚ್ಚು, ಏರ್‌ ಬ್ರೇಕ್‌ ಸ್ವಿಚ್ಚು",,,,,,,,,
,Air conditioned chair car,"ಹವಾ ನಿಯಂತ್ರಿತ ಸುಖಾಸೀನ ವ್ಯವಸ್ಥೆ, ಆರಾಮ ಆಸನ ವ್ಯವಸ್ಥೆ",,,,,,,,,
,Air gap insulator,"ವಾಯುಸಂಧಿ ವಿದ್ಯುತ್‌ ನಿರೋಧಕ, ಏರ್‌ ಗ್ಯಾಪ್‌ ಇನ್ಸುಲೇಟರ್‌",,,,,,,,,
,Air test,"ಗಾಳಿ ಪರೀಕ್ಷೆ, ಹವಾ ಪರೀಕ್ಷೆ",,,,,,,,,
,Alarming proportion,"ಅಪಾಯಸೂಚಕ ಪ್ರಮಾಣ, ಗಾಬರಿಗೊಳಿಸುವ ಪ್ರಮಾಣ",,,,,,,,,
,Alert,"ಎಚ್ಚರಿಕೆ, ಜಾಗೃತಿ, ಚುರುಕು",,,,,,,,,
,Alias,"ಉಪನಾಮ, ಯಾನೆ, ಉರುಫ಼್‌, ಆಲಿಯಾಸ್‌",,,,,,,,,
,Alien,"ವಿದೇಶಿ, ಪರಕೀಯ, ಹೊರಗಿನ",,,,,,,,,
,Alienate,"ಪರಭಾರೆ ಮಾಡು, ಹಸ್ತಾಂತರಿಸು",,,,,,,,,
,Alienation certificate,"ಪರಭಾರೆ ಪ್ರಮಾಣ ಪತ್ರ, ಹಸ್ತಾಂತರ ಪ್ರಮಾಣಪತ್ರ",,,,,,,,,
,Aligning,"ಜೋಡಿಕೆ, ಜೋಡಣೆ, ಒಂದುಗೂಡಿಸು",,,,,,,,,
,Alignment,"ಪಂಕ್ತೀಕರಣ, ಸಮರೇಖೆಯಲ್ಲಿರಿಸು, ಸಾಲಾಗಿ ಕೂಡಿಸು",,,,,,,,,
,Alike,ಒಂದೇ ರೀತಿಯ,,,,,,,,,
,Alimony,ಜೀವನಾಂಶ,,,,,,,,,
,All electric home,ಸರ್ವ ವಿದ್ಯುತ್‌ ಗೃಹ,,,,,,,,,
,Allegation,"ಆಪಾದನೆ, ದೂರು",,,,,,,,,
,Alleged,ಆಪಾದಿತ,,,,,,,,,
,Alleviate,"ಶಮನಗೊಳಿಸು, ಕಡಿಮೆಗೊಳಿಸು",,,,,,,,,
,Alliance,ಸಂಬಂಧ,,,,,,,,,
,Allied allowance,ಸಂಬಂಧಿತ ಭತ್ಯೆ,,,,,,,,,
,Allied equipments,ಸಂಬಂಧಿತ ಸಾಧನ ಸಾಮಗ್ರಿಗಳು,,,,,,,,,
,Allied issues,ಸಂಬಂಧಿತ ವಿಷಯಗಳು,,,,,,,,,
,Allocate,ಹಂಚು,,,,,,,,,
,Allocation,ಹಂಚಿಕೆ,,,,,,,,,
,Allopathic drugs/medicines,"ಪಾಶ್ಚಾತ್ಯ ಔಷಧಗಳು, ಆಲೋಪತಿ ಔಷಧಗಳು",,,,,,,,,
,Allotment,ಹಂಚಿಕೆ,,,,,,,,,
,Aloft,"ಮೇಲಕ್ಕೆ, ಎತ್ತರಕ್ಕೆ",,,,,,,,,
,Alteration,"ಮಾರ್ಪಾಟು, ಬದಲಾವಣೆ",,,,,,,,,
,Alternate date,"ಪರ್ಯಾಯ ದಿನಾಂಕ, ಬದಲಿ ದಿನಾಂಕ",,,,,,,,,
,Alternate nominee,ಪರ್ಯಾಯ ನಾಮನಿರ್ದೇಶಿತ,,,,,,,,,
,Alternating current,"ಪರ್ಯಾಯ ವಿದ್ಯುತ್‌, ಎ.ಸಿ.ವಿದ್ಯುತ್‌",,,,,,,,,
,Alternative route,"ಪರ್ಯಾಯ ಮಾರ್ಗ, ಬದಲಿ ಮಾರ್ಗ, ಬದಲಿ ವಿದ್ಯುತ್‌ ಮಾರ್ಗ",,,,,,,,,
,Amalgamated,"ಸಂಯೋಜಿತ, ಸೇರಿದ, ಮಿಶ್ರಗೊಳಿಸಿದ",,,,,,,,,
,Amalgamation,ಸಂಯೋಜನ ಮಿಶ್ರಣ,,,,,,,,,
,Ambient temperature,ಪರಿಸರ ತಾಪಮಾನ,,,,,,,,,
,Ambiguity,"ಸಂದಿಗ್ಧತೆ, ಅನಿಶ್ಚಿತತೆ",,,,,,,,,
,Ambiguous,"ಅಸ್ಪಷ್ಟ, ಸಂದಿಗ್ಧ, ಅನಿಶ್ಚಿತ",,,,,,,,,
,Ambit,"ಪರಿಧಿ, ಎಲ್ಲೆ, ಮೇರೆ",,,,,,,,,
,Ambulance,"ರೋಗಿ ವಾಹನ, ಆಂಬ್ಯುಲೆನ್ಸ್",,,,,,,,,
,Amenable,"ಬಗ್ಗುವ, ಒಳಗಾಗುವ",,,,,,,,,
,Amendment,ತಿದ್ದುಪಡಿ,,,,,,,,,
,Amenities,ಸೌಲಭ್ಯಗಳು,,,,,,,,,
,Amicable,"ಪರಸ್ಪರ ಸಮ್ಮತಿಯ, ಸ್ನೇಹಪೂರ್ಣ",,,,,,,,,
,Amortisation,"ಸಾಲದಿಂದ ಬಿಡುಗಡೆ, ಋಣಮುಕ್ತತೆ",,,,,,,,,
,Ampere,"ಆಂಪಿಯರ್‌, ಆಂಪೇರ್‌ (ವಿದ್ಯುತ್‌ನ ಒಂದು ಅಳತೆ)",,,,,,,,,
,Ample scope,ಸಾಕಷ್ಟು ಅವಕಾಶ,,,,,,,,,
,Amplifier,ಧ್ವನಿವರ್ಧಕ,,,,,,,,,
,Amputation,"ಅಂಗಚ್ಛೇದನ, ಅಂಗವನ್ನು ಕತ್ತರಿಸುವುದು",,,,,,,,,
,Anaesthesia,ಅರಿವಳಿಕೆ,,,,,,,,,
,Analogy,"ಸಾದೃಶ್ಯ, ಹೋಲಿಕೆ",,,,,,,,,
,Analysis,ವಿಶ್ಲೇಷಣೆ,,,,,,,,,
,Analytical estimation,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಅಂದಾಜು,,,,,,,,,
,Ancestral,"ಪಿತ್ರಾರ್ಜಿತ, ವಂಶಪರಂಪರಾಗತ, ಪೂರ್ವಿಕರ",,,,,,,,,
,Anchor point,"ಲಂಗರು, ನಿಲುಗಡೆ ಸ್ಥಳ",,,,,,,,,
,Anchor rod,"ಲಂಗರು ಸಲಾಕೆ, ಲಂಗರು ಕಂಬ, ಆಂಖರ್‌ ರಾಡು",,,,,,,,,
,Ancillary,"ಅನುಷಂಗಿಕ, ಅಧೀನ, ಅನುಗತ",,,,,,,,,
,Ancillary buildings,ಅನುಗತ ಕಟ್ಟಡಗಳು,,,,,,,,,
,Ancillary direction,ಅನುಗತ ನಿರ್ದೇಶನ,,,,,,,,,
,Angle position,"ಮೂಲೆ, ಕೋನ ಸ್ಥಳ",,,,,,,,,
,Animosity,"ಬದ್ಧ ವೈರ, ಬದ್ಧ ದ್ವೇಷ",,,,,,,,,
,Annexure,ಅನುಬಂಧ,,,,,,,,,
,Annual allowance,ವಾರ್ಷಿಕ ಭತ್ಯೆ,,,,,,,,,
,Annual grant,"ವಾರ್ಷಿಕ ಅನುದಾನ, ವಾರ್ಷಿಕ ಸಹಾಯಧನ",,,,,,,,,
,Annual limits,ವಾರ್ಷಿಕ ಮಿತಿಗಳು,,,,,,,,,
,Annual minimum,ವಾರ್ಷಿಕ ಕನಿಷ್ಠ,,,,,,,,,
,Annual registration,ವಾರ್ಷಿಕ ನೋಂದಣಿ,,,,,,,,,
,Annual report,ವಾರ್ಷಿಕ ವರದಿ,,,,,,,,,
,Annual returns,"ವಾರ್ಷಿಕ ಮಾಹಿತಿ, ವಾರ್ಷಿಕ ಸಲ್ಲಿಕೆ",,,,,,,,,
,Annual store counting,ಉಗ್ರಾಣದ ವಾರ್ಷಿಕ ಎಣಿಕೆ,,,,,,,,,
,Annual verification,"ವಾರ್ಷಿಕ ಪರಿಶೀಲನೆ, ವಾರ್ಷಿಕ ಸತ್ಯಾಪನ",,,,,,,,,
,Annunciation,"ಘೋಷಣೆ, ಪ್ರಕಟಣೆ",,,,,,,,,
,Annunciator panel,"ಘೋಷಣಾ ಫಲಕ, ಘೋಷಣಾ ಸಮಿತಿ",,,,,,,,,
