ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Air inlet,ಗಾಳಿ/ವಾಯು ಪ್ರವೇಶ ದ್ವಾರ,,,,,,,,,
,Air lift pump,"ವಾಯು ಜಲರೇಚಕಯಂತ್ರ, ಪಂಪು",,,,,,,,,
,Air liner,ಗಾಳಿ ಪದರ,,,,,,,,,
,Air pollution control,ವಾಯು ಮಾಲಿನ್ಯ ನಿಯಂತ್ರಣ,,,,,,,,,
,Air pressure,ಗಾಳಿಯೊತ್ತಡ,,,,,,,,,
,Air valve,ವಾಯು ಕವಾಟ,,,,,,,,,
,Air washer,"ಗಾಳಿ ಹಿಡಿಕೆ, ಗಾಳಿ ಹಿಡುಕ",,,,,,,,,
,Airport,ವಿಮಾನ ನಿಲ್ದಾಣ,,,,,,,,,
,Airpump,ವಾಯುರೇಚಕ ಯಂತ್ರ,,,,,,,,,
,Airpump operator,ವಾಯು ರೇಚಕ ಯಂತ್ರ ನಿರ್ವಾಹಕ / ಚಾಲಕ,,,,,,,,,
,Airtight,"ಗಾಳಿಯಾಡದಷ್ಚು ಭದ್ರವಾದ, ವಾಯುಭದ್ರಿತ",,,,,,,,,
,Akola hoe,ಅಕೋಲ ಗುದ್ದಲಿ,,,,,,,,,
,Alidade,ದೃಷ್ಟಿ ಸಾಧನ,,,,,,,,,
,Align,ಸಾಲುಗೂಡಿಸು,,,,,,,,,
,Alignment,"ಸರೇಖಣ, ಸಾಲುನಿಲುವು",,,,,,,,,
,Alkaline soil,ಕ್ಷಾರ ಮಣ್ಣು,,,,,,,,,
,Alkalinity,ಕ್ಷಾರತೆ,,,,,,,,,
,Alloy,ಮಿಶ್ರಲೋಹ,,,,,,,,,
,Alluvial,ಮೆಕ್ಕಲು,,,,,,,,,
,Alternating current (AC),ಆವರ್ತನ ವಿದ್ಯುತ್ ಪ್ರವಾಹ,,,,,,,,,
,Ammeter,ವಿದ್ಯತ್ ಪ್ರವಾಹ ಮಾಪಕ,,,,,,,,,
,Ampere,ವಿದ್ಯುತ್ ಪ್ರವಾಹವನ್ನು ಆಳೆಯುವ ಮಾನ (ಆಂಪಿಯರ್),,,,,,,,,
,Ample channel capacity,ಹೇರಳ ಕಾಲುವೆಮಾರ್ಗ ಸಾಮರ್ಥ್ಯ,,,,,,,,,
,Amplification power,ತರಂಗ ವರ್ಧಕ ಶಕ್ತಿ,,,,,,,,,
,Amplifier,ತರಂಗ ವರ್ಧಕ,,,,,,,,,
,Amplifier magnetic,ಆಯಸ್ಕಾಂತ ಪರಿವರ್ಧಕ,,,,,,,,,
,Analoguos action,ಅನುರೂಪಕ್ರಿಯೆ,,,,,,,,,
,Anchor tower,ಆಧಾರ ಸ್ಥಂಭ,,,,,,,,,
,Angle iron,ಕೋನ ಕಬ್ಬಿಣ,,,,,,,,,
,Angle of beam,ತೊಲೆಯ ಕೋನ,,,,,,,,,
,Angle of bend,"ವಕ್ರತೆಯ ಕೋನ, ಬಾಗುಕೋನ",,,,,,,,,
,Angle of incidence,ಆಪಾತಕೋನ,,,,,,,,,
,Angle of penetration,ನಿರ್ವಹಣೆ ಆಳದ ಕೋನ,,,,,,,,,
,Angle of reflection,ಪ್ರತಿಫಲನ ಕೋನ,,,,,,,,,
,Angle of work,ಕಾರ್ಯಕೋನ,,,,,,,,,
,Angling,ಕೋನೀಕರಣ,,,,,,,,,
,Angular velocity,"ಕೋನಮಾಪಿತ ವೇಗ, ವರ್ತುಲ ವೇಗ",,,,,,,,,
,Angularity correction,ಕೋನ ತಿದ್ದುಪಡಿ,,,,,,,,,
,Anicut,ಅಣೆಕಟ್ಟು,,,,,,,,,
,An-ion,ಋಣ ವಿದ್ಯುದ್ವಾಹಿಕಣ,,,,,,,,,
,Annealed copper,ಹದಮಾಡಿದ ತಾಮ್ರ (ಕಾಯಿಸಿ ಕ್ರಮೇಣ ಆರಿದ),,,,,,,,,
,Annealing,"ಹದಮಾಡುವುದು, ಹದಗೊಳಿಸುವುದು",,,,,,,,,
,Annular ring,ಕಂಕಣಾಕಾರದ ಉಂಗುರಗಳು,,,,,,,,,
,Anode,ಧನವಿದ್ಯುತ್ ಧ್ರುವ,,,,,,,,,
,Anode accelerating,ಧನವಿದ್ಯುಧ್ರುವದ ವೇಗವರ್ಧಕ,,,,,,,,,
,Antenna shield,ಗ್ರಾಹಕ ಪ್ರಸಾರಕ ತಂತಿ ಫಲಕ / ಕವಚ,,,,,,,,,
,Anticlockwise,"ವಾಮವರ್ತಿ, ಅಪ್ರದಕ್ಷಿಣ",,,,,,,,,
,Anticorrosives,ತುಕ್ಕು ನಿರೋಧಕ ವಸ್ತುಗಳು,,,,,,,,,
,Anticyclone,"ಪ್ರತಿಸುಳಿಗಾಳಿ, ಅಪಭ್ರಮಣ ಮಾರುತ",,,,,,,,,
,Antifreezer,"ಘನೀಭವನ ನಿರೋಧಕ, ಪ್ರತಿ ಶೀತಲಕ",,,,,,,,,
,Antifriction,"ಪ್ರತಿಘರ್ಷಕ, ಫರ್ಷಣರೋಧೀ",,,,,,,,,
,Antimony,ಭಿದುರತೆ,,,,,,,,,
,Antioxidants,ಉತ್ಕರ್ಷಣ ನಿರೋಧಕಗಳು,,,,,,,,,
,Apex,"ತುದಿ, ಶಿಖರ, ಶಿಖಾಗ್ರ",,,,,,,,,
,Apex angle,"ಶಿಖಾಗ್ರಕೋನ, ಶೀರ್ಷಕೋನ, ತುದಿಕೋನ",,,,,,,,,
,Apiculus,ತುದಿಯುಳ್ಳ,,,,,,,,,
,Apparent cohesion,"ತೋರಿಕೆಯ ಸಂಬಂದ್ಧತೆ, ವ್ಯಕ್ತ ಸಂಸಕ್ತಿ",,,,,,,,,
,Applied force,ಪ್ರಯುಕ್ತಬಲ,,,,,,,,,
,Apprentice,ಶಿಕ್ಷಾರ್ಥಿ,,,,,,,,,
,Apprenticeship,ಉದ್ಯೋಗ ಶಿಕ್ಷಣ,,,,,,,,,
,Approach road,"ತೋಡುದಾರಿ, ಸಂಪರ್ಕ ಮಾರ್ಗ",,,,,,,,,
,Approved work,"ಮಂಜೂರಾದ ಕೆಲಸ, ಸಮ್ಮತಿಸಿರುವ ಕೆಲಸ",,,,,,,,,
,Appurtenant,ಸಂಬಂಧಿಸಿದ ಉಪಕರಣ,,,,,,,,,
,Apron,ಮುಂಗವಚ,,,,,,,,,
,Aquatic,ಜಲ(ಚರ),,,,,,,,,
,Aqueduct,ನೀರುಸಾಗಿಸುವ ಮೇಲ ಕಾಲುವೆ,,,,,,,,,
,Aqueous,ನೀರು ತುಂಬಿದ,,,,,,,,,
,Aqueous rock,"ಜಲದೃಢಶಿಲೆ, ಜಲಭರಿತ",,,,,,,,,
,Aquifer,ಭೂಜಲ ಕುಂಡ,,,,,,,,,
,Arable land,ವ್ಯವಸಾಯ ಯೋಗ್ಯ ಭೂಮಿ,,,,,,,,,
,Arbitrary,ಅನಿಯಂತ್ರಿತ,,,,,,,,,
,Arbitrary plane,ಆಯ್ಕೆತಲ,,,,,,,,,
,Arc discharge,ವಿದ್ಯುಚ್ಛಾಪ ಬಿಡುಗಡೆ,,,,,,,,,
,Arc overvoltage,ಹೆಚ್ಚಿನ ವಿದ್ಯುತ್ ಬಲದ ವಿದ್ಯುಚ್ಛಾಪ,,,,,,,,,
,Arc(Electric),ವಿದ್ಯುಚ್ಛಾಪ,,,,,,,,,
,Arch,"ಚಾಪ, ಕಮಾನು",,,,,,,,,
,Arch bridge,ಕಮಾನು ಸೇತುವೆ,,,,,,,,,
,Arched culvert,ಕಮಾನು ಅಡಿಗಾಲುವೆ,,,,,,,,,
,Archemedian screw,ಆರ್ಕಿಮಿಡಿಸ್ಸಿನ ತಿರುಪು / ಆರ್ಕಿಮಿಡಿಸ್ಸಿನ ನೀರೆತ್ತುವ ತಿರುಪು ಯಂತ್ರ,,,,,,,,,
,Arching action (in soils),"ಚಾಪಕ್ರಿಯೆ, ಕಮಾನುಕ್ರಿಯೆ",,,,,,,,,
,Area,"ಕ್ಷೇತ್ರ, ಕ್ಷೇತ್ರಫಲ, ವಿಸ್ತಾರ",,,,,,,,,
,Area culturable lift,ಏತ ನೀರಾವರಿ ಸಾಗುವಳಿ ಕ್ಷೇತ್ರ,,,,,,,,,
,Area Culturalble commanded,ಸಾಗುವಳಿಯೋಗ್ಯ ಅಚ್ಚುಕಟ್ಟು ಪ್ರದೇಶ,,,,,,,,,
,Area discharge section,ವಿಸರ್ಜನಾ ಛೇದನ ಕ್ಷೇತ್ರ,,,,,,,,,
,Area flow irrigation,ಪ್ರವಹನ ನೀರಾವರಿ ಕ್ಷೇತ್ರ,,,,,,,,,
,Area gross,ಒಟ್ಟಾರೆ ಕ್ಷೇತ್ರ,,,,,,,,,
,Area gross commanded,ಒಟ್ಟಾರೆ ಅಚ್ಚುಕಟ್ಟು ಪ್ರದೇಶ,,,,,,,,,
,Area gross irrigable,ಒಟ್ಟಾರೆ ನೀರುಣಿಸಬಲ್ಲ ಕ್ಷೇತ್ರ,,,,,,,,,
,Area gross lift,ಒಟ್ಟಾರೆ ಏತನೀರಾವರಿ ಕ್ಷೇತ್ರ,,,,,,,,,
,Area irrigation,ನೀರಾವರಿ ಕ್ಷೇತ್ರ,,,,,,,,,
,Area lift irrigation,ಏತನೀರಾವರಿ ಕ್ಷೇತ್ರ,,,,,,,,,
,Area matured,ವಿಕಾಸ ಹೊಂದಿದ ಪ್ರದೇಶ,,,,,,,,,
,Area non perennial,ವಾರ್ಷಿಕವಲ್ಲದ ಪ್ರದೇಶ,,,,,,,,,
,Area of influence of a well,ಬಾಗಾಯ್ತು ಪ್ರದೇಶ,,,,,,,,,
,Area outlet,"ಕ್ಷೇತ್ರ, ಹೊರಗಡಿ, ಬಹಿರ್ ದ್ವಾರ",,,,,,,,,
,Area perennial,ವಾರ್ಷಿಕ ಪ್ರದೇಶ,,,,,,,,,
,Area probability technique,ಕ್ಷೇತ್ರ ಸಂಭವನೀಯತೆ ತಂತ್ರ,,,,,,,,,
,Area remitted,ಕ್ಷೇತ್ರ ತಗ್ಗಿಸು,,,,,,,,,
,Area under irrigation,ನೀರಾವರಿ ಪ್ರದೇಶ,,,,,,,,,
,"Area,assessed",ಅಂದಾಜು ಮಾಡಿದ ಕ್ಷೇತ್ರ,,,,,,,,,
,"Area,Cultivated",ಸಾಗುವಳಿ ಮಾಡಿದ ಕ್ಷೇತ್ರ,,,,,,,,,
,Arid,"ಒಣಕಲು, ಬತ್ತಿಹೋದ, ಶುಷ್ಕ",,,,,,,,,
,Arid soil,ಶುಷ್ಕ ಮಣ್ಣು,,,,,,,,,
,Arithmetical,"ಸಂಖ್ಯಾಶ್ರೇಣಿ, ಅಂಕಗಣಿತ",,,,,,,,,
,Arm signal,"ಸೂಚನಾ ಕೈಮರ, ಕೈ ಸಂಕೇತ",,,,,,,,,
,Arrows,"ಸರಳುಗಳು, ದಿಕ್ಕುಸರಳು",,,,,,,,,
,Artesian condition,ಉತ್ ಸುತ್ತ ಚಿಲುಮೆ ಬುಗ್ಗೆ ಸ್ಥಿತಿ,,,,,,,,,
,Artesian flow,ಬಾವಿಯಿಂದ ಉಕ್ಕಿ ಬರುವ ನೀರು,,,,,,,,,
,Artesian pressure,ಉತ್ ಸುತ್ತ ಚಿಲುಮೆ ಒತ್ತಡ,,,,,,,,,
,Artesian water,ಬುಗ್ಗೆ ನೀರು,,,,,,,,,
,Artesian well,ಚಿಲುಮೆ ಬುಗ್ಗೆ ಬಾವಿಗಳು,,,,,,,,,
,Artificial channel,ಕೃತಕ ಕಾಲುವೆ / ಮಾರ್ಗ,,,,,,,,,
,Artificial erosion,ಕೃತಕ ಸವಕಳಿ,,,,,,,,,
,Artisans,"ಕೈಗೆಲಸಗಾರ, ಕಸುಬುದಾರರು",,,,,,,,,
,Asbestos,"ಕಲ್ನಾರು, ಅಸ್ ಬೆಸ್ಟಾಸ್",,,,,,,,,
,Ash content,ಭಸ್ಮ / ಬೂದಿ ಅಂಶ,,,,,,,,,
,Ashlar,"ಚದರಗಲ್ಲು ಕಟ್ಟಡ, ಚದರವಾಗಿ ಸೀಳಿತೆಗೆದ ಕಲ್ಲು",,,,,,,,,
,Ashlar masonry,ಕಲ್ಲುಕಟ್ಟಡ,,,,,,,,,
,Asphaltic,ಕಪ್ಪುರಾಳ,,,,,,,,,
,Asphaltic concrete,"ಕಲ್ಲರಗು / ಕಪ್ಪುರಾಳದ ಜಲ್ಲಿಗಾರೆ, ಅಸ್ಫಾಲ್ಟಿಕ್ ಕಾಂಕ್ರೀಟ್",,,,,,,,,
,Assemble,"ಜೋಡಿಸು, ಹೊಂದಾಣಿಸು",,,,,,,,,
,Assembly,ಸಮುಚ್ಛಯ,,,,,,,,,
,Assimilation,ಸಮರೂಪಗೊಳಿಸುವಿಕೆ,,,,,,,,,
,Assisting engine,ನೆರವಾಗುವ ಯಂತ್ರ,,,,,,,,,
,Atomisation,ಅಣುರೂಪೀಕರಣ,,,,,,,,,
,Atomise,"ತೃಣೀಕರಿಸು, ಅಣುರೂಪಿಸು,ತುಂತುರುಗೊಳಿಸುವ",,,,,,,,,
,Atomised paint,ಅಣುರೂಪಿತ ಬಣ್ಣ,,,,,,,,,
,Atomiser,ತುಂತುರು ಸಾಧನ,,,,,,,,,
,Attaching & detaching,ಜೋಡಿಸುವುದು ಮತ್ತು ಕಳಚುವುದು,,,,,,,,,
,Attachment,"ಜೋಡಣೆ, ಸೇರಿಸುವುದು",,,,,,,,,
,Atterberg indices,ಅಟ್ಯರ್ ಬರ್ಗ್ ಸೂಚಕಾಂಕ,,,,,,,,,
,Atterberg limit,ಅಟ್ಯರ್ ಬರ್ಗ್ ಪರಿಮಿತಿ,,,,,,,,,
,Auger,ಬೈರಿಗೆ,,,,,,,,,
,Auger boring,ನೆಲಬ್ಬೆರಿಗೆ ಕೊರತೆ,,,,,,,,,
,Auger hole,ಬೈರಿಗೆ ರಂಧ್ರ,,,,,,,,,
,Automatic,ಸ್ವಯಂಚಾಲಿತ,,,,,,,,,
,Automatic choke wearing,ಪ್ರತಿಬಂಧಕ ಸವಕಳಿ,,,,,,,,,
,Automatic gate,"ಸ್ವಯಂಚಾಲಿತ ಬಾಗಿಲು, ದ್ವಾರ",,,,,,,,,
,Automatic rain gauge,ಸ್ವಯಂಚಾಲಿತ ಮಳೆಮಾಪಕ,,,,,,,,,
,Automatic sluice gates,ಸ್ವಯಂಚಾಲಿತ ತೂಬು,,,,,,,,,
,Automatic vaccum brake,ಸ್ವಯಂಚಾಲಿತ ನಿರ್ವಾತ ತಡೆ / ಬ್ರೇಕ್,,,,,,,,,
,Automative choke,ಸ್ವಯಂಚಾಲಿತ ಪ್ರತಿಬಂಧಕ,,,,,,,,,
,Auxiliary electrode,ಪ್ರತಿ ವಿದ್ಯುಧ್ರುವ,,,,,,,,,
,Auxiliary plant,ಪ್ರತಿ ಉಪಕರಣ / ಪ್ರತಿಫಲಕ,,,,,,,,,
,Auxiliary spillway,ಪ್ರತಿ ಜಲನಿರ್ಗಮನ,,,,,,,,,
,Available water,ಲಭ್ಯಜಲ,,,,,,,,,
,Average duty,ಸರಾಸರಿ ನೀರಿನ ದರ,,,,,,,,,
,Avulsion,ಹರಿದು ಬಂದ ಭಾಗ,,,,,,,,,
,Awl,ದಬ್ಬಳ,,,,,,,,,
,Axial flow,ಅಕ್ಷ ಹರಿವು,,,,,,,,,
,Axis,"ಅಕ್ಷ, ಅಕ್ಷರೇಖೆ",,,,,,,,,
,Axle,"ಅಚ್ಚು, ಚಕ್ರದ ಅಚ್ಚು",,,,,,,,,
,Axle box,ಅಚ್ಚು ಪೆಟ್ಟಿಗೆ,,,,,,,,,
,Axle distance,ಅಕ್ಷಪಟದ ಅಂತರ,,,,,,,,,
,Axle load,ಅಕ್ಷಪಟದ ಭಾರ,,,,,,,,,
,Axle nail,ಕಡಾಣಿ,,,,,,,,,
,Axle pin,ಕಡಾಣಿ,,,,,,,,,
,Babble,"ತಡೆ, ಗತಿ ನಿಯಂತ್ರಕ",,,,,,,,,
,Babble piers,ಹರಿಯುವ ನೀರು ತಡೆಯುವ ಕಟ್ಟಡ / ಕಂಬ,,,,,,,,,
,Back furrow,ಆಧಾರ ಉಕ್ಕೆಸಾಲು,,,,,,,,,
,Backfiring,ಪ್ರತಿಸ್ಫೋಟ,,,,,,,,,
,Background,ಹಿನ್ನೆಲೆ,,,,,,,,,
,Backrest,ಬೆನ್ನು ಆಧಾರ,,,,,,,,,
,Backtitration,ಹಿಮ್ಮುಖ ಪ್ರಮಾಣಮಾಪನ,,,,,,,,,
,Backward reaction,ಹಿಮ್ಮುಖ ಪ್ರತಿಕ್ರಿಯೆ,,,,,,,,,
,Backwashing,ಹಿಂದಕ್ಕೆ ಸಾಗುವ ಅಲೆಯ ಚಲನೆ,,,,,,,,,
,Backwater,ಹಿನ್ನೀರು,,,,,,,,,
,Backwater curve,ಹಿನ್ನೀರಿನ ವಕ್ರಾಕೃತಿ ಕಟ್ಟೆ,,,,,,,,,
,Baffle plates,ಗತಿನಿಯಂತ್ರಕ ತಟ್ಟೆ / ಫಲಗಳು,,,,,,,,,
,Baffle tooth,ಗರಗಸದಂತಹ ತಗಡು ಅಥವಾ ತಡೆ,,,,,,,,,
,Bail plug,ಬಿಗಿದುಂಡು ಬಿರಡೆ,,,,,,,,,
,Bailer,ನೀರು ಹೊರಚೆಲ್ಲುನ ಉಪಕರಣ / ವ್ಯಕ್ತಿ,,,,,,,,,
,Bailer test,ನೀರು ಹೊರಚೆಲ್ಲುವ ಉಪಕರಣ ಪರೀಕ್ಷೆ,,,,,,,,,
,Balance,ಸಂತುಲನ,,,,,,,,,
,Balancer,"ಸಮತೂಕಕಾರಕ, ಸಂತುಲನಕಾರಕ",,,,,,,,,
,Balancing tank,ಸಮತೋಲನ ತೊಟ್ಟಿ / ಹಂಡೆ,,,,,,,,,
,Baler,ಪಿಂಡಿಕಾರಕ,,,,,,,,,
,Ball & cup,ಗುಂಡು ಮತ್ತು ಬಟ್ಟಲು,,,,,,,,,
,Ball & socket,ಗುಂಡು ಮತ್ತು ಕುಳಿ,,,,,,,,,
,Ball & socket arrangement,ಒರಳುಗುಂಡು ಕೀಲು ವ್ಯವಸ್ಥೆ,,,,,,,,,
,Ball bearing,"ಘರ್ಷಣರೋಧಕ ಗೋಲಿ, ಬಾಲ್ ಬೇರಿಂಗ್",,,,,,,,,
,Ball valve,ಚೆಂಡು ಕವಾಟ,,,,,,,,,
,Ballast,ನಿಲುಭಾರ,,,,,,,,,
,Ballast crusher,ಜಲ್ಲಿಮರಳು ಮಿಶ್ರಣಮಾಡುವ ಸಾಧನ,,,,,,,,,
,Ballast fork,ಜಲ್ಲಿ ಮರಳು ಎತ್ತಿ ಎಸೆಯುವುದಕ್ಕೆ ಬಳಸುವ ಕವಲುಗೋಲು,,,,,,,,,
,Ballast stress,ನಿಲುಭಾರ ಒತ್ತಡ,,,,,,,,,
,Ballasting,ಜಲ್ಲಿಹಾಕು / ನಿಲುಭಾರ ಹಾಸು,,,,,,,,,
,Ballhousing,"ಗೋಲಿ ಕೋಶ, ಗುಂಡು ಕೋಶ",,,,,,,,,
,Bandsaw,ಪಟ್ಟಿ ಗರಗಸ,,,,,,,,,
,Banner,"ಪತಾಕೆ, ಬಾವುಟ",,,,,,,,,
,Bar,"ದಬ್ಬೆ ಸಲಾಕೆ, ಅಗುಳಿ, ತಾಪಾಳ ಅಡ್ಡತಡೆ, ಪ್ರತಿಬಂಧಕ",,,,,,,,,
,Bar armature,ಲೋಹ ಕಾಂತರಕ್ಷಕ / ಸಲಾಕೆ,,,,,,,,,
