ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Absolute ownership,"ಸಂಪೂರ್ಣ ಸ್ವಾಮ್ಯ, ಸಂಪೂರ್ಣ ಒಡೆತನ",,,,,,,,,YES
,Absorption,"ಹೀರಿಕೊಳ್ಳುವಿಕೆ, ವಿಲೀನ ಗೊಳ್ಳುವಿಕೆ, ಮಗ್ನಗೊಳಿಸು",,,,,,,,,YES
,Abstract,"ಸಂಕ್ಷಿಪ್ತ, ಸಾರಾಂಶ, ಸಂಗ್ರಹ, ಗೋಷ್ವಾರೆ",,,,,,,,,YES
,Abstract statement,"ಸಂಕ್ಷಿಪ್ತ ವಿವರಪಟ್ಟಿ,",,,,,,,,,YES
,Absurd,ಅಸಂಬದ್ಧ,,,,,,,,,YES
,Abundance,"ಹೇರಳ, ಸಮೃದ್ಧಿ",,,,,,,,,YES
,Abuse of power,ಅಧಿಕಾರ ದುರುಪಯೋಗ,,,,,,,,,YES
,Abusive language,"ಬಯ್ಗುಳ ಭಾಷೆ, ನಿಂದಾತ್ಮಕ ಭಾಷೆ",,,,,,,,,YES
,Academic,"ಶೈಕ್ಷಣಿಕ, ತಾತ್ವಿಕ",,,,,,,,,YES
,Academic discussion,"ಶೈಕ್ಷಣಿಕ ಚರ್ಚೆ, ಶೈಕ್ಷಣಿಕ ಸಂವಾದ",,,,,,,,,YES
,Academic leave,ಶೈಕ್ಷಣಿಕ ರಜೆ,,,,,,,,,YES
,Academic qualification,"ವಿದ್ಯಾರ್ಹತೆ, ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ",,,,,,,,,YES
,Academic record,ಶೈಕ್ಷಣಿಕ ದಾಖಲೆ,,,,,,,,,YES
,Accede,"ಒಪ್ಪು, ಸಮ್ಮತಿ, ಅಧಿಕಾರ ವಹಿಸಿಕೊ, ಸೇರು",,,,,,,,,YES
,Accept,"ಸ್ವೀಕರಿಸು, ಅಂಗೀಕರಿಸು, ಒಪ್ಪಿಕೋ",,,,,,,,,YES
,Acceptance,"ಸ್ವೀಕಾರ, ಅಂಗೀಕಾರ, ಒಪ್ಪಿಗೆ",,,,,,,,,YES
,Acceptance of office,ಅಧಿಕಾರ ಸ್ವೀಕಾರ,,,,,,,,,YES
,Acceptance of tender,ಟೆಂಡರು ಸ್ವೀಕಾರ,,,,,,,,,YES
,Access,ಪ್ರವೇಶಾವಕಾಶ,,,,,,,,,YES
,Accession,"ಪದಾರೋಹಣ, ಪ್ರವೇಶ, ಅಂಗೀಕಾರ",,,,,,,,,YES
,Accessory,"ಉಪಸಾಧನ, ಪೂರಕ",,,,,,,,,YES
,Accident,"ಅಪಘಾತ, ಆಕಸ್ಮಿಕ",,,,,,,,,YES
,Acclimatization,"ಸನ್ನಿವೇಶಕ್ಕೆ ಒಗ್ಗಿಕೊಳ್ಳುವಿಕೆ, ವಾತಾವರಣಕ್ಕೆ ಒಗ್ಗಿಕೊಳ್ಳುವಿಕೆ",,,,,,,,,YES
,Accommodation,"ವಸತಿ, ಸ್ಥಳಾವಕಾಶ",,,,,,,,,YES
,Accompanist,"ಜೊತೆಗೂಡಿದವ, ಸಂಗಡಿಗ",,,,,,,,,YES
,Accord,"ಒಪ್ಪಂದ, ಒಪ್ಪಿಗೆ ನೀಡು",,,,,,,,,YES
,Accordance,"ಒಪ್ಪಿಗೆ, ಮಂಜೂರಾತಿ",,,,,,,,,YES
,Accordingly,ತದನುಸಾರವಾಗಿ,,,,,,,,,YES
,Account,"ಹೊಣೆಯಾಗು, ಕಾರಣಕೊಡು, ಖಾತೆ, ಲೆಕ್ಕ, ಹೇಳಿಕೆ",,,,,,,,,YES
,Accountability,"ಹೊಣೆಗಾರಿಕೆ, ಜವಾಬ್ದಾರಿ",,,,,,,,,YES
,Accountable,"ಹೊಣೆಗಾರನಾದ, ಜವಾಬ್ದಾರನಾದ",,,,,,,,,YES
,Accountancy,ಲೆಕ್ಕಶಾಸ್ತ್ರ,,,,,,,,,YES
,Accountant,"ಲೆಕ್ಕಿಗ, ಲೆಕ್ಕಗುಮಾಸ್ತ",,,,,,,,,YES
,Account for,"ಜವಾಬ್ದಾರಿಹೊರು, ಲೆಕ್ಕನೀಡು",,,,,,,,,YES
,Account head,ಲೆಕ್ಕಶೀರ್ಷಿಕೆ,,,,,,,,,YES
,Accrued benefit,"ಸಂಚಿತಲಾಭ, ಕೂಡಿಬರುವಲಾಭ",,,,,,,,,YES
,Accrued pension,ಸಂಚಿತ ಪಿಂಚಣಿ,,,,,,,,,YES
,Accumulation,"ಶೇಖರಣೆ, ಸಂಚಯನ",,,,,,,,,YES
,Accuracy,"ನಿಖರತೆ, ಖಚಿತತೆ",,,,,,,,,YES
,Accurate,"ನಿಖರವಾದ, ಕರಾರುವಾಕ್ಕಾದ, ಸರಿಯಾದ",,,,,,,,,YES
,Accuse,"ಆಪಾದಿಸು, ತಪ್ಪುಹೊರಿಸು, ದೋಷಾರೋಪಿಸು",,,,,,,,,YES
,Accused,ಆಪಾದಿತ,,,,,,,,,YES
,Achievement,ಸಾಧನೆ,,,,,,,,,YES
,Acknowledgement,"ಸ್ವೀಕೃತಿ, ರಸೀದಿ, ತಪ್ಪೊಪ್ಪಿಗೆ",,,,,,,,,YES
,Acknowledgement due,"ಷರತ್ಪಾವತಿ, ಸ್ವೀಕೃತಿನಿರೀಕ್ಷಿತ",,,,,,,,,YES
,Acquaintance,"ಪರಿಚಯ, ಗುರುತು",,,,,,,,,YES
,Acquisition,"ಗಳಿಕೆ, ಅರ್ಜನೆ, ಸ್ವಾಧೀನತೆ",,,,,,,,,YES
,Acquittance,"ವೇತನಪಾವತಿ, ಬಿಡುಗಡೆ",,,,,,,,,YES
,Act,"ಅಧಿನಿಯಮ, ಕಾರ್ಯ, ಕೆಲಸ, ವರ್ತಿಸು",,,,,,,,,YES
,Acting allowance,ಬದಲಿ ನಿರ್ವಹಣ ಭತ್ಯೆ,,,,,,,,,YES
,Action,"ಕ್ರಮ, ಕ್ರಿಯೆ, ಕಾನೂನುರೀತ್ಯಾಕ್ರಮ",,,,,,,,,YES
,Action plan,"ಕಾರ್ಯಯೋಜನೆ, ಕ್ರಿಯಾ ಯೋಜನೆ",,,,,,,,,YES
,Active,"ಸಕ್ರಿಯ, ಕ್ರಿಯಾತ್ಮಕ",,,,,,,,,YES
,Actively,"ಸಕ್ರಿಯವಾಗಿ, ಕ್ರಿಯಾತ್ಮಕವಾಗಿ, ತೀವ್ರವಾಗಿ",,,,,,,,,YES
,Activist,"ಸಕ್ರಿಯ ಕಾರ್ಯಕರ್ತ, ಕ್ರಿಯಾಶೀಲ",,,,,,,,,YES
,Act of God,ದೈವೀಘಟನೆ,,,,,,,,,YES
,Act of misconduct,ದುರ್ವರ್ತನೆ ಕ್ರಿಯೆ,,,,,,,,,YES
,Acts of commission and omission,ತಪ್ಪು ಒಪ್ಪುಗಳಕ್ರಿಯೆಗಳು,,,,,,,,,YES
,Actual,"ವಾಸ್ತವಿಕ, ಯಥಾರ್ಥ",,,,,,,,,YES
,Actuals,ವಾಸ್ತವಿಕಗಳು,,,,,,,,,YES
,Adaptation,"ಅಳವಡಿಕೆ, ರೂಪಾಂತರ",,,,,,,,,YES
,Addition,"ಕೂಡುವುದು, ಸಂಕಲನ, ಜೋಡಿಸುವುದು, ಸೇರಿಸುವುದು",,,,,,,,,YES
,Additional charge,ಅಧಿಕ ಪ್ರಭಾರ,,,,,,,,,YES
,Additional fund,"ಹೆಚ್ಚುವರಿ ನಿಧಿ, ಹೆಚ್ಚುವರಿಹಣಕಾಸು",,,,,,,,,YES
,Additional grant,ಹೆಚ್ಚುವರಿ ಅನುದಾನ,,,,,,,,,YES
,Additional information,ಹೆಚ್ಚಿನ ಸಮಾಚಾರ,,,,,,,,,YES
,Additional pay,ಹೆಚ್ಚುವರಿ ವೇತನ,,,,,,,,,YES
,Addition and Alteration,ಸೇರ್ಪಡೆ ಮತ್ತು ಮಾರ್ಪಾಟು,,,,,,,,,YES
,Address,"ವಿಳಾಸ, ಭಾಷಣ, ಬಿನ್ನವತ್ತಳೆ, ಮಾನಪತ್ರ ಸಂಬೋಧಿಸು, ಭಾಷಣಮಾಡು",,,,,,,,,YES
,Addressee,ವಿಳಾಸದಾರ,,,,,,,,,YES
,Address of welcome,ಸ್ವಾಗತ ಭಾಷಣ,,,,,,,,,YES
,Adequate,"ಪರ್ಯಾಪ್ತ, ಸಾಕಷ್ಟು",,,,,,,,,YES
,Adhere to,"ದೃಢವಾಗಿರು, ಬದ್ಧವಾಗಿರು, ಅಂಟಿಕೊಳ್ಳು",,,,,,,,,YES
,Ad hoc,"ತತ್ ಪೂರ್ತ, ತಾತ್ಪೂರ್ತಿಕ",,,,,,,,,YES
,Ad hoc claim,"ತತ್ ಪೂರ್ತಹಕ್ಕು, ತತ್ ಪೂರ್ತ ಹಕ್ಕೊತ್ತಾಯ",,,,,,,,,YES
,Ad hoc committee,ತತ್ ಪೂರ್ತಸಮಿತಿ,,,,,,,,,YES
,Ad hoc increase,ತತ್ ಪೂರ್ತ ಹೆಚ್ಚಳ,,,,,,,,,YES
,Ad hoc payment,ತತ್ ಪೂರ್ತಬಟವಾಡೆ,,,,,,,,,YES
,Adjacent,"ಪಕ್ಕದ, ಮಗ್ಗುಲಿನ",,,,,,,,,YES
,Adjoining (=contiguous),"ಲಗತ್ತಾದ, ಸೇರಿಕೊಂಡಿರುವ, ಪಕ್ಕದಲ್ಲಿರುವ",,,,,,,,,YES
,Adjournment,"ಮುಂದೂಡಿಕೆ, ನಿಲುವಳಿ",,,,,,,,,YES
,Adjournment motion,ನಿಲುವಳಿ ಸೂಚನೆ,,,,,,,,,YES
,Adjudge,"ನ್ಯಾಯ ನಿರ್ಣಯಿಸು, ತೀರ್ಪುಕೊಡು",,,,,,,,,YES
,Adjudicate,ನ್ಯಾಯ ನಿರ್ಣಯ ಮಾಡು,,,,,,,,,YES
,Adjudication,"ನ್ಯಾಯ ನಿರ್ಣಯ, ತೀರ್ಪುನೀಡಿಕೆ",,,,,,,,,YES
,Adjudicator,ನ್ಯಾಯ ನಿರ್ಣಯಿಸುವವನು,,,,,,,,,YES
,Adjustment,ಹೊಂದಾಣಿಕೆ,,,,,,,,,YES
,Administer,"ಆಡಳಿತನಡೆಸು, ಪ್ರಮಾಣ ಮಾಡಿಸು, ನ್ಯಾಯಕೊಡು",,,,,,,,,YES
,Administer oath,ಪ್ರತಿಜ್ಞಾವಿಧಿ ಬೋಧಿಸು,,,,,,,,,YES
,Administration,"ಆಡಳಿತ, ಕಾರ್ಯಭಾರ",,,,,,,,,YES
,Administration of justice,ನ್ಯಾಯಾಡಳಿತ,,,,,,,,,YES
,Administrative,ಆಡಳಿತಾತ್ಮಕ,,,,,,,,,YES
,Administrative action,"ಆಡಳಿತಾತ್ಮಕಕ್ರಿಯೆ, ಆಡಳಿತಾತ್ಮಕಕಾರ್ಯ",,,,,,,,,YES
,Administrative appraisal,ಆಡಳಿತಾತ್ಮಕ ಮೌಲ್ಯನಿರ್ಣಯ,,,,,,,,,YES
,Administrative approval,ಆಡಳಿತಾತ್ಮಕ ಅನುಮೋದನೆ,,,,,,,,,YES
,Administrative authority,ಆಡಳಿತಾತ್ಮಕ ಪ್ರಾಧಿಕಾರ,,,,,,,,,YES
,Administrative control,ಆಡಳಿತಾತ್ಮಕ ನಿಯಂತ್ರಣ,,,,,,,,,YES
,Administrative department,"ಆಡಳಿತಾತ್ಮಕ ಇಲಾಖೆ, ಆಡಳಿತಾತ್ಮಕ ವಿಭಾಗ",,,,,,,,,YES
,Administrative head,ಆಡಳಿತ ಮುಖ್ಯಸ್ಥ,,,,,,,,,YES
,Administrative headquarters,ಆಡಳಿತಾತ್ಮಕ ಕೇಂದ್ರಕಾರ್ಯಸ್ಥಳ,,,,,,,,,YES
,Administrative measures,ಆಡಳಿತಾತ್ಮಕ ಕ್ರಮಗಳು,,,,,,,,,YES
,Administrative power,ಆಡಳಿತಾಧಿಕಾರ,,,,,,,,,YES
,Administrative sanction,ಆಡಳಿತಾತ್ಮಕ ಮಂಜೂರಾತಿ,,,,,,,,,YES
,Administrative technique,ಆಡಳಿತಾತ್ಮಕ ತಂತ್ರ,,,,,,,,,YES
,Administrative tribunal,ಆಡಳಿತ ನ್ಯಾಯಮಂಡಳಿ,,,,,,,,,YES
,Admissibility,"ಸ್ವೀಕಾರಾರ್ಹತೆ, ಅಂಗೀಕಾರಾರ್ಹತೆ",,,,,,,,,YES
,Admissible expenditure,"ಅಂಗೀಕಾರಯೋಗ್ಯ ಖರ್ಚು, ಅಂಗೀಕಾರಯೋಗ್ಯ ವೆಚ್ಚ",,,,,,,,,YES
,Admit,"ಅಂಗೀಕರಿಸು, ಸೇರಿಸಿಕೋ, ಪ್ರವೇಶಕೊಡು",,,,,,,,,YES
,Admit card,ಪ್ರವೇಶ ಪತ್ರ,,,,,,,,,YES
,Admitted,"ಸ್ವೀಕರಿಸಲಾಗಿದೆ, ಒಪ್ಪಲಾಗಿದೆ, ಸೇರಿಸಿಕೊಳ್ಳಲಾಗಿದೆ, ಪ್ರವೇಶನೀಡಿದೆ",,,,,,,,,YES
,Admonish,ವಾಗ್ದಂಡನೆ ವಿಧಿಸು,,,,,,,,,YES
,Adoptee,"ದತ್ತಕ, ದತ್ತು ತೆಗೆದು ಕೊಳ್ಳಲಾದವನು",,,,,,,,,YES
,Adoptor,ದತ್ತು ಸ್ವೀಕರಿಸಿದವನು,,,,,,,,,YES
,Adoption,"ದತ್ತು ಸ್ವೀಕಾರ, ಅಂಗೀಕರಿಸು, ಸ್ವೀಕಾರ",,,,,,,,,YES
,Adult,ವಯಸ್ಕ,,,,,,,,,YES
,Adulteration,ಕಲಬೆರಕೆ,,,,,,,,,YES
,Adultery,"ಕಲಬೆರಕೆ ವ್ಯಭಿಚಾರ, ಹಾದರ",,,,,,,,,YES
,Adult franchise,ವಯಸ್ಕಮತದಾನ,,,,,,,,,YES
,Ad valorem duty,"ಬೆಲೆಗೆ ತಕ್ಕಂತೆ, ಕ್ರಮಾನುಸಾರ, ಯಥಾ ಮೂಲ್ಯಶುಲ್ಕ",,,,,,,,,YES
,Advance,"ಮುಂಗಡ, ಮುನ್ನಡೆ, ಮುಂಚಲನ",,,,,,,,,YES
,Advance booking,ಮುಂಗಡ ಕಾದಿರಿಸುವಿಕೆ,,,,,,,,,YES
,Advance copy,ಮುಂಗಡ ಪ್ರತಿ,,,,,,,,,YES
,Advanced increment,ಮುಂಗಡ ವೇತನಬಡ್ತಿ,,,,,,,,,YES
,Advance payment,ಮುಂಗಡ ಸಂದಾಯ,,,,,,,,,YES
,Adverse entry,ಪ್ರತಿಕೂಲ/ವಿರುದ್ಧ-ನಮೂದು,,,,,,,,,YES
,Adverse remarks,ಪ್ರತಿಕೂಲ ಷರಾ,,,,,,,,,YES
,Adverse report,ಪ್ರತಿಕೂಲ ವರದಿ,,,,,,,,,YES
,Advertisement,"ಜಾಹೀರಾತು, ಪ್ರಚಾರ",,,,,,,,,YES
,Advice,"ಸಲಹೆ, ಅಭಿಪ್ರಾಯ, ಸೂಚನೆ",,,,,,,,,YES
,Advice of payment,ಸಂದಾಯ ಸೂಚನೆ,,,,,,,,,YES
,Advisory committee,ಸಲಹಾ ಸಮಿತಿ,,,,,,,,,YES
,Advisory council,ಸಲಹಾ ಪರಿಷತ್ತು,,,,,,,,,YES
,Advocate,"ವಕೀಲ, ನ್ಯಾಯವಾದಿ",,,,,,,,,YES
,Affairs,ವ್ಯವಹಾರಗಳು,,,,,,,,,YES
,Affidavit,"ಶಪಥ ಪತ್ರ, ಅಫಿಡವಿಟ್ಟು",,,,,,,,,YES
,Affiliation,"ಸಂಲಗ್ನತೆ, ಸಂಯೋಜನೆ",,,,,,,,,YES
,Affirmation,"ದೃಢೀಕರಣ, ಪ್ರತಿಜ್ಞಾವಚನ",,,,,,,,,YES
,Affirmative,ಸಕಾರಾತ್ಮಕ,,,,,,,,,YES
,Afford,"ಒದಗಿಸು, ಸಮರ್ಥನಾಗಿರು",,,,,,,,,YES
,Aforesaid,"ಹಿಂದೆಹೇಳಿದ, ಪೂರ್ವೋಕ್ತ",,,,,,,,,YES
,Afresh,ಹೊಸದಾದ,,,,,,,,,YES
,Against,ವಿರುದ್ಧವಾದ,,,,,,,,,YES
,Age,ವಯಸ್ಸು,,,,,,,,,YES
,Age certificate,ವಯಸ್ಸಿನ ಪ್ರಮಾಣ ಪತ್ರ,,,,,,,,,YES
,Age for suffrage,"ಮತಾಧಿಕಾರದ ವಯಸ್ಸು, ಮತದಾನದ ವಯಸ್ಸು",,,,,,,,,YES
,Age limit,ವಯೋಮಿತಿ,,,,,,,,,YES
,Agency,"ಕಾರ್ಯಭಾರ, ಏಜೆನ್ಸಿ",,,,,,,,,YES
,Agenda,ಕಾರ್ಯ ಸೂಚಿ,,,,,,,,,YES
,Age of retirement,ನಿವೃತ್ತಿ ವಯಸ್ಸು,,,,,,,,,YES
,Age of superannuation,ನಿವೃತ್ತಿ ವಯೋಮಿತಿ,,,,,,,,,YES
,Aggregation,ಒಟ್ಟಾರೆ ಮೌಲ್ಯ,,,,,,,,,YES
,Aggrieved,"ಬಾಧಿತ, ತೊಂದರೆಗೊಳಗಾದ",,,,,,,,,YES
,Agitation,"ಚಳುವಳಿ, ಆಂದೋಲನ",,,,,,,,,YES
,AGM (Annual General Meeting),ವಾರ್ಷಿಕ ಸಾಮಾನ್ಯಸಭೆ,,,,,,,,,YES
,Agreement,"ಒಪ್ಪಂದ, ಒಡಂಬಡಿಕೆ",,,,,,,,,YES
,Agreement form,ಒಡಂಬಡಿಕೆ ನಮೂನೆ,,,,,,,,,YES
,Agriculture,"ಕೃಷಿ, ವ್ಯವಸಾಯ",,,,,,,,,YES
,Agro-industry,ಕೃಷಿ-ಕೈಗಾರಿಕೆ,,,,,,,,,YES
,Aid,"ಸಹಾಯ, ನೆರವು",,,,,,,,,YES
,Alarm,ಎಚ್ಚರಿಕೆ,,,,,,,,,YES
,Alertness,"ಚುರುಕು, ಜಾಗರೂಕತೆ",,,,,,,,,YES
,Alias,"ಉಪನಾಮ, ಉರುಫ್, ಅಲಿಯಾಸ್, ಯಾನೆ",,,,,,,,,YES
,Allegation,ಆಪಾದನೆ,,,,,,,,,YES
,Allegiance,ನಿಷ್ಠೆ,,,,,,,,,YES
,Alliance,"ಮೈತ್ರಿ, ಸಂಬಂಧ",,,,,,,,,YES
,Allied services,ಸಂಬಂಧಿತ ಸೇವೆ,,,,,,,,,YES
,All inclusive cost,ಎಲ್ಲವನ್ನೂ ಒಳಗೊಂಡ ಬೆಲೆ,,,,,,,,,YES
,All India Services,ಅಖಿಲ ಭಾರತ ಸೇವೆಗಳು,,,,,,,,,YES
,Allocation,ನಿಗದಿ,,,,,,,,,YES
,Allotment,"ಹಂಚುವುದು, ಹಂಚಿಕೆ",,,,,,,,,YES
,Allotment letter,ಹಂಚಿಕೆ ಪತ್ರ,,,,,,,,,YES
,Allottee,"ಭಾಗಸ್ಥ, ಹಂಚಿತ, ಹಂಚಿಕೆಪಡೆದವ",,,,,,,,,YES
,Allowable,ಅನುಮತಿಸಲಾದ,,,,,,,,,YES
,Allowable expenses,ಅನುಮತಿಸಲಾದ ವೆಚ್ಚಗಳು,,,,,,,,,YES
,Allow an appeal,"ಮೇಲ್ಮನವಿಗೆ ಸಮ್ಮತಿಸುವುದು, ಅನುಮತಿಸುವುದು",,,,,,,,,YES
,Allowance,ಭತ್ಯೆ,,,,,,,,,YES
,All rights reserved,ಎಲ್ಲ ಹಕ್ಕುಗಳನ್ನೂ ಕಾದಿರಿಸಿದೆ,,,,,,,,,YES
,Alphabetic order,ಅಕಾರಾದಿ ಕ್ರಮ,,,,,,,,,YES
,Altercation,"ವಾಕ್ಕಲಹ, ಮಾತಿನ ಜಗಳ",,,,,,,,,YES
,Alternate,"ಪರ್ಯಾಯ, ಒಂದುಬಿಟ್ಟು ಮತ್ತೊಂದು",,,,,,,,,YES
,Alternative,"ಪರ್ಯಾಯ, ಒಂದರಬದಲು ಮತ್ತೊಂದು",,,,,,,,,YES
,Amalgamation,"ಬೆರಸು, ಮಿಶ್ರಗೊಳಿಸು, ಸಂಯೋಜಿಸು",,,,,,,,,YES
,Amended draft,ತಿದ್ದಿದ ಕರಡು,,,,,,,,,YES
,Amendment,ತಿದ್ದುಪಡಿ,,,,,,,,,YES
,Amenity,"ಸೌಲಭ್ಯ, ಸೌಕರ್ಯ",,,,,,,,,YES
,Amicable,"ಪರಸ್ಪರ ಸಮ್ಮತಿಯ, ಸ್ನೇಹಪೂರ್ಣ",,,,,,,,,YES
,Ammunition,"ಮದ್ದುಗುಂಡು, ಯುದ್ಧಸಾಮಗ್ರಿ",,,,,,,,,YES
,Amortization of debt,ಪರಾಧೀನ ಮಾಡಲಾಗದ ಋಣ,,,,,,,,,YES
,Amount,"ಮೊಬಲಗು, ಮೊತ್ತ",,,,,,,,,YES
,Amount of pension,ಪಿಂಚಣಿಯ ಮೊತ್ತ,,,,,,,,,YES
,Analogous post,"ಸದೃಶವಾದ ಹುದ್ದೆ, ಅನುರೂಪವಾದ ಹುದ್ದೆ",,,,,,,,,YES
,Analysis,ವಿಶ್ಲೇಷಣೆ,,,,,,,,,YES
,Analytical study,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಅಧ್ಯಯನ,,,,,,,,,YES
,Ancestor,"ಪೂರ್ವಜ, ಪೂರ್ವಿಕ",,,,,,,,,YES
,Ancillary industry,"ಅನುಗತ ಕೈಗಾರಿಕೆ, ಅನುಷಂಗೀ ಉದ್ಯಮ",,,,,,,,,YES
,Animosity,"ಬದ್ಧ ದ್ವೇಷ, ಬದ್ಧ ವೈರ",,,,,,,,,YES
,Annexure,"ಅನುಬಂಧ, ಸೇರ್ಪಡೆ",,,,,,,,,YES
,Anniversary,ವಾರ್ಷಿಕೋತ್ಸವ,,,,,,,,,YES
,Announcement,"ಘೋಷಣೆ, ಪ್ರಕಟಣೆ, ಸಾರುವುದು",,,,,,,,,YES
,Annoyance,ಸಿಡುಕು,,,,,,,,,YES
,Annual financial statement,"ವಾರ್ಷಿಕ ವಿತ್ತವಿವರಣೆ, ವಾರ್ಷಿಕ ಆರ್ಥಿಕ ವಿವರಣೆ",,,,,,,,,YES
,Annual report,ವಾರ್ಷಿಕ ವರದಿ,,,,,,,,,YES
,Annuity,ವರ್ಷಾಶನ,,,,,,,,,YES
,Anonymous,"ಬೇನಾಮಿ, ಅನಾಮಧೇಯ",,,,,,,,,YES
,Anonymous complaint,"ಬೇನಾಮಿ ದೂರು, ಅನಾಮಧೇಯ ದೂರು",,,,,,,,,YES
,Answerability,"ಉತ್ತರದಾಯಿತ್ವ, ಉತ್ತರ ಕೊಡಬೇಕಾದ್ದು, ಜವಾಬ್ದಾರಿ",,,,,,,,,YES
,Answer sheet,"ಉತ್ತರ ಪ್ರತ್ರಿಕೆ, ಉತ್ತರದ ಹಾಳೆ",,,,,,,,,YES
,Antagonist,ವಿರೋಧ ಕಟ್ಟಕೊಂಡವನು,,,,,,,,,YES
,Antecedents,"ಹಿಂದಿನ ನಡತೆ, ಪೂರ್ವಚರಿತ್ರೆ",,,,,,,,,YES
,Anticipated expenditure,ನಿರೀಕ್ಷಿತ ವೆಚ್ಚ (ಖರ್ಚು),,,,,,,,,YES
,Anticipated income,ನಿರೀಕ್ಷಿತ ವರಮಾನ,,,,,,,,,YES
,Anticipation,ನಿರೀಕ್ಷೆ,,,,,,,,,YES
,Anticipatory bail,ನಿರೀಕ್ಷಣಾ ಜಾಮೀನು,,,,,,,,,YES
,Anti-corruption measure,ಭ್ರಷ್ಟಾಚಾರ ವಿರೋಧೀ ಕ್ರಮ,,,,,,,,,YES
,Anti-dumping,ಪೇರಿಸುವ ವಿರುದ್ಧ,,,,,,,,,YES
,Antique,"ಪ್ರಾಚೀನ, ಪ್ರಾಚೀನ ಅವಶೇಷ, ಪ್ರಾಚೀನ ವಸ್ತು",,,,,,,,,YES
