ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Abiogenesis,"ಅಜೈವಿಕ ಜನನ, ಅಜೀವ ಜನ್ಯತೆ, ಅಜೀವೋತ್ಪತ್ತಿ",,,,,,,,,
,Abiotic,"ಅಜೈವಿಕ, ಅಜೈವ",,,,,,,,,
,Ablate,"ಕೊಯ್ತೆಗತ, ನಾಶಪಡಿಸು",,,,,,,,,
,Abnormal,"ಅಸಹಜ, ಅಪಸಾಮಾನ್ಯ",,,,,,,,,
,Abomasum,ಚತುರ್ಥಜಠರ,,,,,,,,,
,Abort,ಕಾರ್ಯಭಂಗ,,,,,,,,,
,Abrasion,"ಉಜ್ಜುವಿಕೆ, ತರಚಿಕೆ",,,,,,,,,
,Abrasive,"ಅಪಘರ್ಷಕ, ಉಜ್ಜಿಹಾಕುವ ತರಚುವ, ಉಜ್ಜುವ",,,,,,,,,
,Abscisic layer,ಅಸ್ಪಷ್ಟ ಪದರ,,,,,,,,,
,Abscissa X-,"ನಿರ್ದೇಶಕ, ಪಾದಸೂಚಕ, ಕ್ಷಿತಿಜಾಂಕ, ಭುಜದೂರ",,,,,,,,,
,Abscission,ಅಪಛೇದನ,,,,,,,,,
,Absolute,ನಿರಪೇಕ್ಷ,,,,,,,,,
,Absolute,ನಿರ್ದಿಷ್ಟ,,,,,,,,,
,Absolute address,ನಿರ್ದಿಷ್ಟ ವಿಳಾಸ,,,,,,,,,
,Absolute alcohol,ಪರಿಶುದ್ಧ ಮದ್ಯಸಾರ,,,,,,,,,
,Absolute disc sector,ಮುದ್ರಿಕೆಯ ನಿರ್ದಿಷ್ಟ ವರ್ತುಲ ಭಾಗ,,,,,,,,,
,Absolute magnitude,ಕಾಂತಿಮಾನ,,,,,,,,,
,Absolute refractive index,ನಿರಪೇಕ್ಷ ವಕ್ರೀಕರಣಸೂಚಿ,,,,,,,,,
,Absolute refractive index,ನಿರಪೇಕ್ಷ ವಕ್ರೀಭವನ/ವಕ್ರೀಕರಣ,,,,,,,,,
,Absolute scale,"ನಿರಪೇಕ್ಷ ಮಾಪಕ, ತಕ್ಕಡಿ",,,,,,,,,
,Absolute temperature,ನಿರಪೇಕ್ಷ ಉಷ್ಣತೆ,,,,,,,,,
,Absolute unit,ನಿರಪೇಕ್ಷ ಮಾನ,,,,,,,,,
,Absolute value,ನಿರಪೇಕ್ಷ ಮೌಲ್ಯ,,,,,,,,,
,Absolute value,ನಿರಪೇಕ್ಷಬೆಲೆ/ ಮೌಲ್ಯ,,,,,,,,,
,Absolute zero,"ನಿರಪೇಕ್ಷ , ಶೂನ್ಯ",,,,,,,,,
,Absorb,ಹೀರು ಅಪಕರ್ಷಿಸು,,,,,,,,,
,Absorbent,"ಚೂಷಕ, ಹೀರಿಕೊಳ್ಳುವ",,,,,,,,,
,Absorbent,"ಅವಶೋಷಕ, ಚೂಷಕ, ಹೀರಿಕೊಳ್ಳುವ",,,,,,,,,
,Absorption,"ಹೀರಿಕೆ, ಅವಶೋಷಣೆ",,,,,,,,,
,Absorption,"ಹೀರಿಕೆ, ರಕ್ತಗತ, ಅವಶೋಷಣೆ",,,,,,,,,
,Abstract,"ಅಮೂರ್ತ, ಸಾರಾಂಶ",,,,,,,,,
,Abstract,ಸಾರಾಂಶ,,,,,,,,,
,Abundance,"ವಿಪುಲತೆ, ಹೇರಳ",,,,,,,,,
,Abundance,ವಿಪುಲತೆ/ ಸಮೃದ್ಧ,,,,,,,,,
,Acarpous,"ಅಫಲಿ, ಫಲರಹಿತ",,,,,,,,,
,Accelerate,"ಉತ್ಕರ್ಷಿಸು, ಗತಿವೃದ್ಧಿ",,,,,,,,,
,Acceleration,"ವೇಗೋತ್ಕರ್ಷ,ಉತ್ಕರ್ಷ",,,,,,,,,
,Acceleration,ವೇಗವರ್ಧಕ,,,,,,,,,
,Accelerator,ವೇಗೋತ್ಕರ್ಷಕ,,,,,,,,,
,Accelerator,ವೇಗವರ್ಧಕ,,,,,,,,,
,Accelerator board,ವೇಗವರ್ಧಕ ಫಲಕ,,,,,,,,,
,Acceptor,ಸ್ವೀಕಾರಿ,,,,,,,,,
,Access,ಆಕ್ಸೆಸ್ (ಮೈಕ್ರೊಸಾಫ್ಟ್ ಸಂಸ್ಥೆ ಅಭಿವೃದ್ಧಿಪಡಿಸಿರುವ ದತ್ತ ವ್ಯವಸ್ಥಾಪಕ ಸೌಲಭ್ಯ),,,,,,,,,
,Access,ಪ್ರವೇಶ,,,,,,,,,
,Accessibility,ಪ್ರವೇಶಸಾಧ್ಯತೆ,,,,,,,,,
,Acclimatization,"ಒಗ್ಗಿಕೊಳ್ಳುವಿಕೆ, ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ, ಒಗ್ಗಣೆ, ಒಗ್ಗಿಕೆ",,,,,,,,,
,Account,ಖಾತೆ,,,,,,,,,
,Accountancy,ವಾಣಿಣ್ಯ ಲೆಕ್ಕಗಣಿತ,,,,,,,,,
,Accounting Information System,ಲೆಕ್ಕಮಾಹಿತಿ ಪದ್ಧತಿ,,,,,,,,,
,Accoustics,"ಧ್ವನಿವಿಜ್ಞಾನ, ಶ್ರವಣ ಗುಣಗಳು",,,,,,,,,
,Accretion,"ಸಂಚಯನ, ಒಗ್ಗೂಡುವಿಕೆ",,,,,,,,,
,Accumulation,"ಸಂಗ್ರಹ, ಶೇಖರಣೆ, ಕೂಡಿಹಾಕುವಿಕೆ",,,,,,,,,
,Accuracy,"ನಿಖರತೆ, ನಿಷ್ಕೃಷ್ಟತೆ",,,,,,,,,
,Achiral,ಅಕಿರಾಲ್,,,,,,,,,
,Acid,ಆಮ್ಲ,,,,,,,,,
,Acid rain,"ಆಮ್ಲ ವೃಷ್ಟಿ, ಮಳೆ",,,,,,,,,
,Acidic,ಆಮ್ಲೀಯ,,,,,,,,,
,Acidified,ಆಮ್ಲಮಿಶ್ರಿತ,,,,,,,,,
,Acidity,"ಆಮ್ಲೀಯತೆ, ಆಮ್ಲತೆ",,,,,,,,,
,Acidosis,ರಕ್ತಾಮ್ಲತೆ,,,,,,,,,
,Acidotropy,ಅಸಮವರ್ತನೆ ಅಸಮದೈಹಿಕತೆ,,,,,,,,,
,ACK acknowledgement,ಸ್ವೀಕೃತಿ ಸಂಕೇತ,,,,,,,,,
,Aclinic line,ಅನತರೇಖೆ,,,,,,,,,
,Acquired,ಆರ್ಜಿತ,,,,,,,,,
,Acquired behaviour,ಆರ್ಜಿತ ವರ್ತನೆ,,,,,,,,,
,Acquired character,ಆರ್ಜಿತ ಲಕ್ಷಣ,,,,,,,,,
,Acquisition,ಸಂಗ್ರಹಣೆ,,,,,,,,,
,Acquity,ತೀಕ್ಷ್ಣತೆ,,,,,,,,,
,Acrogen,ಅಗ್ರಜನಕ,,,,,,,,,
,Acronym,ಸಂಕ್ಷಿಪ್ತಪದ,,,,,,,,,
,Acropetal,"ಅಗ್ರಾನ್ವೇಷಿ, ಅಗ್ರಗಾಮಿ",,,,,,,,,
,Action,ಕ್ರಿಯೆ,,,,,,,,,
,Activate,ಪಟುಗೊಳಿಸು,,,,,,,,,
,Activation,ಕ್ರಿಯಾಶೀಲಗೊಳಿಸುವಿಕೆ,,,,,,,,,
,Active,"ಸಕ್ರಿಯ, ಚಟುವಟಿಕೆಯಿಂದಿರುವ, ಕ್ರಿಯಾಶೀಲ",,,,,,,,,
,Active anergy,ಸಕ್ರಿಯ ಶಕ್ತಿ,,,,,,,,,
,Active area,"ಕಾರ್ಯಶೀಲ, ಪುಟ ಭಾಗ",,,,,,,,,
,Activity,"ಸಕ್ರಿಯತೆ, ಪಟುತ್ವ, ಕಾರ್ಯಶೀಲತೆ",,,,,,,,,
,Activity light,ಚಾಲನೆದೀಪ,,,,,,,,,
,Acuity,ತೀಕ್ಷ್ಣತೆ,,,,,,,,,
,Acute,ಲಘು,,,,,,,,,
,Acute angle,ಲಘು ಕೋನ,,,,,,,,,
,Adaptation,ಹೊಂದಾಣಿಕೆ,,,,,,,,,
,Adapter,ಸಂಯೋಜಕ,,,,,,,,,
,Adaptive answering,ಹೊಂದಾಣಿಕೆಯಿಂದ ಉತ್ತರಿಸುವಿಕೆ,,,,,,,,,
,Add,"ಕೂಡು, ಸಂಕಲಿಸು, ಕೂಡಿಸು",,,,,,,,,
,Addict,"ವ್ಯಸನಿ, ಚಟ ಬೆಳೆಸಿಕೊಂಡಿರುವವ",,,,,,,,,
,Addiction,"ವ್ಯಸನ, ಚಟ",,,,,,,,,
,Add-in programme,ಹೆಚ್ಚುವರಿ ಕ್ರಮವಿಧಿ,,,,,,,,,
,Addition,"ಸಂಕಲನ, ಕೂಡಿಸುವುದು",,,,,,,,,
,Addition of fractions,ಭಿನ್ನರಾಶಿಗಳ ಸಂಕಲನ,,,,,,,,,
,Addition of matrices,ಸದಿಶಗಳ ಸಂಕಲನ,,,,,,,,,
,Addition of vectors,"ಸಂಕಲನ, ಕೂಡಿಸುವುದು",,,,,,,,,
,Additive,"ಸಂಕಲ್ಯ, ಸಂಕಲನೀಯ",,,,,,,,,
,Additive,ಭಿನ್ನರಾಶಿಗಳ ಸಂಕಲನ,,,,,,,,,
,Additive constant,ಭಿನ್ನರಾಶಿಗಳ ಸ್ಥಿರಾಂಕ,,,,,,,,,
,Additive identity,"ಭಿನ್ನರಾಶಿಗಳ ಅನನ್ಯತ್ವ, ಸರ್ವಸಮತ್ವ",,,,,,,,,
,Additive inverse,ಭಿನ್ನರಾಶಿಗಳ ವಿಲೋಮ,,,,,,,,,
,Address,ವಿಳಾಸ,,,,,,,,,
,Address bus,ವಿದ್ಯುನ್ಮಾನ ವಿಳಾಸ ಮಾರ್ಗ,,,,,,,,,
,Address space,ಸ್ಮೃತಿವಿಳಾಸ ಮಿತಿ,,,,,,,,,
,Adenoma,"ಅಡಿನೋಮ, ಗ್ರಂಥಿಗಂತಿ",,,,,,,,,
,Adhesion,"ಅಸಂಜನ, ಅಂಟಿಕೊಳ್ಳುವಿಕೆ",,,,,,,,,
,Adhesive,"ಅಂಟು, ಅಂಟುವ, ಅನುಸಕ್ತಿಯುತ",,,,,,,,,
,Adhesive,"ಅಸಂಜಕ, ಅಂಟಿಸುವ",,,,,,,,,
,Adiabatic,"ಅಪಾರಣೀಯ, ಸ್ಥಿರೋಷ್ಣ, ಸ್ಥಿರಶಾಖ, ಸಮೋಷ್ಣ",,,,,,,,,
,Adiabatic,"ಅಪಾರಣೀಯ, ವಿಕಾಂತೀಕರಣ, ಸ್ಥಿರೋಷ್ಣ, ಸ್ಥಿರಶಾಖ",,,,,,,,,
,Adipose,"ಕೊಬ್ಬಿನ, ಮೇದಸ್ಸಿನ",,,,,,,,,
,Adjacent,"ಮಗ್ಗುಲಿನ, ಅಕ್ಕಪಕ್ಕದ, ಪಕ್ಕದ",,,,,,,,,
,Adjacent,"ಪಾರ್ಶ್ವದ, ಪಕ್ಕದ",,,,,,,,,
,Adjacent angles,ಪಾರ್ಶ್ವ ಕೋನಗಳು,,,,,,,,,
,Adjacent of a matrix,ಒಂದು ಮಾತೃಕೆಯ ಪಾರ್ಶ್ವಮಾತೃಕೆ,,,,,,,,,
,Adjacent side,"ಪಾರ್ಶ್ವಬಾಹು, ಪಕ್ಕ",,,,,,,,,
,Adjust,"ಹೊಂದಿಸು, ಆಳವಡಿಸು",,,,,,,,,
,Adjuvant,"ಸಹಾಯಕ, ಸಹಕಾರಿ",,,,,,,,,
,Adobe acrobat,ಅಡೋಬೆ ಆಕ್ರೊಬ್ಯಾಟ್ (ಕಡತ ವ್ಯವಸ್ಥಾಪನೆಗಾಗಿ ಇರುವ ತಂತ್ರಾಂಶಗಳಲ್ಲಿ ಒಂದು),,,,,,,,,
,Adolescence,"ಕಿಶೋರಾವಸ್ಥೆ, ಹರೆ",,,,,,,,,
,Adsorb,ಅಧಿಶೋಷಿಸು,,,,,,,,,
,Adsorbate,ಅಧಿಶೋಷಿತ,,,,,,,,,
,Adsorbent,ಅಧಿಶೋಷಕ,,,,,,,,,
,Adsorption,ಅಧಿಶೋಷಣೆ,,,,,,,,,
,Adult stage,ಪ್ರೌಢಾವಸ್ಥೆ,,,,,,,,,
,Adulteration,ಕಲಬೆರಕೆ,,,,,,,,,
,Adulthood,ಪ್ರಬುದ್ಧತೆ,,,,,,,,,
,Adventitious,ಅಸ್ಥಾನಿಕ,,,,,,,,,
,Aerial roots,ವಾಯುವಿಕ ಬೇರುಗಳು,,,,,,,,,
,Aerobe,ವಾಯುಜೀವಿ,,,,,,,,,
,Aerobic,ವಾಯುವಿಕ,,,,,,,,,
,Aerobic respiration,ವಾಯುವಿಕ ಉಸಿರಾಟ,,,,,,,,,
,Aeroponics,ವಾಯುಕೃಷಿ,,,,,,,,,
,Aerosol,"ಏರೋಸಾಲ್, ಔಷಧ ತುಂತುರು",,,,,,,,,
,Aerosol,ವಾಯುಕಲಿಲ,,,,,,,,,
,Aestivation,"ಪುಷ್ಪದಳ ವಿನ್ಯಾಸ, ಗ್ರೀಷ್ಮ ನಿಷ್ಕ್ರಿಯತೆ, ಗ್ರೀಷ್ಮ ನಿದ್ರೆ",,,,,,,,,
,Aetiology,"ಕಾರಣ, ಕಾರ್ಯಕಾರಣವಾದ, ಯಾವುದೇ ವಿದ್ಯಮಾನದ/ರೋಗದ ಕಾರಣಗಳ ಅಧ್ಯಯನ",,,,,,,,,
,Affinity,"ಒಲವು, ಆಕರ್ಷಣೆ",,,,,,,,,
,Affinity,"ಬಂಧುತ್ವ, ನಂಟು",,,,,,,,,
,Afforestation,ಅರಣ್ಯೀಕರಣ,,,,,,,,,
,Afterbirth,"ಮಾಸು, ಕಸ, ಸೆತ್ತೆ",,,,,,,,,
,Agamous,ನಿರ್ಲಿಂಗ,,,,,,,,,
,Agaricus,"ಅಣಬೆ, ನಾಯಿಕೊಡೆ",,,,,,,,,
,Agave,ಕತ್ತಾಳೆ,,,,,,,,,
,Age,ವಯಸ್ಸು,,,,,,,,,
,Agenesis,"ಅವಿಕಸನ, ಅಪೂರ್ಣ ಬೆಳವಣೆಗೆ",,,,,,,,,
,Agent,ಕಾರಕ,,,,,,,,,
,Agent,ಮಧ್ಯವರ್ತಿ,,,,,,,,,
,Agglutinate,"ಅಂಟಿಸು, ಕಣ ಸಂಶ್ಲೇಷಣೆ",,,,,,,,,
,Aggregate,"ಕ್ರೋಢೀಕೃತ, ಒಟ್ಟುಗೂಡಿಸಿದ",,,,,,,,,
,Aggregate,"ಸಮಷ್ಟಿ, ಒಟ್ಟುಗೂಡಿಸು",,,,,,,,,
,Aggregate,ಸಮಷ್ಟ,,,,,,,,,
,Aggressive,ಆಕ್ರಮಣಶೀಲ,,,,,,,,,
,Agricultural based waste,ಕೃಷಿಮೂಲದ ತ್ಯಾಜ್ಯ,,,,,,,,,
,Agriculture,"ವ್ಯವಸಾಯ, ಕೃಷಿ",,,,,,,,,
,Agronomy,ಕೃಷಿ ಉತ್ಪಾದನೆ-ಭೂ ಸಂರಕ್ಷಣೆ ವಿಜ್ಞಾನ,,,,,,,,,
,Air,"ಗಾಳಿ, ವಾಯು",,,,,,,,,
,Air bladder,ವಾಯು ಚೀಲ,,,,,,,,,
,Air resistance,ವಾಯುರೋಧ,,,,,,,,,
,Air sac,ವಾಯು ಸಂಚಿ,,,,,,,,,
,Airtight,"ವಾಯುಬಂಧ, ವಾಯು ಅಭಾದಿತ",,,,,,,,,
,Albino,"ಬಿಳಿಚ, ಶ್ವೇತವರ್ಣಿ",,,,,,,,,
,Alchemist,ರಸವಾದಿ,,,,,,,,,
,Alchemy,"ರಸವಿದ್ಯೆ, ರಸವಾದ",,,,,,,,,
,Alert box,ಎಚ್ಚರಿಕೆಚೌಕ,,,,,,,,,
,Algae,"ಶೈವಲ, ಪಾಚಿ",,,,,,,,,
,Algebra,ಬೀಜಗಣಿತ,,,,,,,,,
,Algebraic,ಬೀಜಗಣಿತೀಯ,,,,,,,,,
,Algebraic equation,ಬೀಜಗಣಿತೀಯ ಸಮೀಕರಣ,,,,,,,,,
,Algebraic event,ಬೀಜಗಣಿತೀಯ ಘಟನೆ,,,,,,,,,
,Algebraic expression,ಬೀಜಗಣಿತೀಯ ಉಕ್ತಿ,,,,,,,,,
,Algebraic function,ಬೀಜಗಣಿತೀಯ ಉತ್ಪನ್ನ,,,,,,,,,
,Algebraic operation,ಬೀಜಗಣಿತೀಯ ಕ್ರಿಯೆ,,,,,,,,,
,Algebraic structure,ಬೀಜಗಣಿತೀಯ ರಚನೆ,,,,,,,,,
,Algorithm,"ಕ್ರಮಾವಳಿ, ಅಲ್ಲಾರಿದಮ್",,,,,,,,,
,Algorithms,ಸರಳೀಕೃತ ಹಂತ ಸೂಚನಾ ಸರಣಿ,,,,,,,,,
,Alias,"ಉಪನಾಮ, ಪರ್ಯಾಯನಾಮ",,,,,,,,,
,Alignment,ಪಠ್ಯಹೊಂದಿಕೆ,,,,,,,,,
,Alimentary canal,ಜೀರ್ಣನಾಳ,,,,,,,,,
,Alive,ಜೀವಂತ,,,,,,,,,
,Alkali,"ಕ್ಷಾರ, ಪ್ರತ್ಯಾಮ್ಲ",,,,,,,,,
,Alkali earth metals,ಕ್ಷಾರಭಸ್ಮ ಲೋಹಗಳು,,,,,,,,,
,Alkaline,ಕ್ಷಾರೀಯ,,,,,,,,,
,Alkalosis,ಭಿನ್ನವರ್ತಿ,,,,,,,,,
,Alleles,ಜೀನ್ ಗಳ ಎರಡು ಅಥವಾ ಹೆಚ್ಚು ರೂಪಗಳು,,,,,,,,,
,Allergy,"ಅಲರ್ಜಿ, ಒಗ್ಗದಿಕೆ",,,,,,,,,
,Allied,ಸಂಬಂಧಿಕ,,,,,,,,,
,Allied angle,ಮೈತ್ರಿಕೋನ,,,,,,,,,
,Allocate,ನಿಗತಿಗೊಳಿಸು,,,,,,,,,
,Allocation table,ನಿಗದಿಕೋಷ್ಟಕ,,,,,,,,,
,Allotrope,ಭಿನರೂಪಣೆ,,,,,,,,,
,Allotropy,ಭಿನ್ನವರ್ತನೆ,,,,,,,,,
,Allotropy,"ಭಿನ್ನವರ್ತಿ, ಬಹುರೂಪತೆ",,,,,,,,,
,Alloy,"ಮಿಶ್ರಲೋಹ, ಅಲಾಯ್",,,,,,,,,
,Alluvial,ಮೆಕ್ಕಲು,,,,,,,,,
,Aloe,"ಕತ್ತಾಳೆ, ಲೋಳೆರಸ",,,,,,,,,
,Alpha,"ಆಲ್ಫಾ (ಗ್ರೀಕ್ ಭಾಷೆಯ ಮೊದಲ ಅಕ್ಷರ, ತಂತ್ರಾಂಶದ ಮೊದಲ ಪ್ರಾಯೋಗಿಕ ಆವೃತ್ತಿಯನ್ನು ಕರೆಯುವ ರೀತಿ)",,,,,,,,,
,Alpha carbon,ಆಲ್ಫಾ ಕಾರ್ಬನ್,,,,,,,,,
,Alpha numeric,ಅಕ್ಷರಾಂಕೀಯ,,,,,,,,,
,Alpha particle,ಆಲ್ಫಾಕಣ,,,,,,,,,
,Alpha software,ತಂತ್ರಾಂಶದ-ಪ್ರಾರಂಭಿಕ ಅಥವಾ ಪರೀಕ್ಷಾರ್ಥ ಆವೃತ್ತಿ,,,,,,,,,
,Alpha test,ಪ್ರಾರಂಭಿಕ ಪರೀಕ್ಷೆ,,,,,,,,,
,Alt key,ಆಲ್ಟ್ ಕೀಲಿ,,,,,,,,,
,Alternate,ಪರ್ಯಾಯ,,,,,,,,,
,Alternate track,ಪರ್ಯಾಯಜಾಡು,,,,,,,,,
,Alternating,ಪರ್ಯಾಯ,,,,,,,,,
,Alternating current,"ಪರ್ಯಾಯ ಪ್ರವಾಹ, ವಿದ್ಯುತ್ಪ್ರವಾಹ",,,,,,,,,
,Alternating voltage,"ಪರ್ಯಾಯ ವೋಲ್ಟೇಜ್, ವಿಭವ",,,,,,,,,
,Altitude,"ಉನ್ನತಿ, ಎತ್ತರ",,,,,,,,,
,Alum,ಪಟಿಕ,,,,,,,,,
,Alveoli,"ವಾಯುಕೂಪಿಕೆ, ವಾಯುಕೋಶ, ಗಾಳಿಗೂಡು",,,,,,,,,
,Amber,"ಅಂಬರು, ಶಿಲಾರಾಳ",,,,,,,,,
,Ambiguity,ಸಂದಿಗ್ಧತೆ,,,,,,,,,
,Amblyopia,ದೃಷ್ಟಿಮಾಂದ್ಯ,,,,,,,,,
,Ambulatory,"ನಡೆದಾಡುವ, ಚಲನಾಧಾರ",,,,,,,,,
,Amentia,ಮತಿಮಾಂದ್ಯ,,,,,,,,,
,Amino acid,ಅಮೈನೊ ಆಮ್ಲ,,,,,,,,,
,Amnion,"ಗರ್ಭವೇಷ್ಟನ, ಉಲ್ಬ, ಪಟಲಸಂಡಿ",,,,,,,,,
,Amniota,ಗರ್ಭವೇಷ್ಟಿ ಗುಂಪು,,,,,,,,,
,Amorphous,ಅಸ್ಫಟಿಕ,,,,,,,,,
,Amount,ಮೊತ್ತ,,,,,,,,,
,Amphibia,"ಉಭಯಜೀವಿ, ಉಭಯವಾಸಿ",,,,,,,,,
,Amphoteric,ಉಭಯವರ್ತಿ,,,,,,,,,
,Amplification factor,ಪ್ರವರ್ಧನಾಂಶ,,,,,,,,,
,Amplifier,ಪ್ರವರ್ಧಕ,,,,,,,,,
,Amplifier,"ವರ್ಧಕ, ಧ್ವನಿವರ್ಧಕ",,,,,,,,,
,Amplify,ಪ್ರವರ್ಧಿಸು,,,,,,,,,
,Amplitude,ಪಾರ/ಕಂಪನ ವಿಸ್ತಾರ,,,,,,,,,
,Amplitude,"ವ್ಯಾಪ್ತಿ, ಪಾರ, ವಿಸ್ತಾರ",,,,,,,,,
,Amplitude modulation,"ಮಾಡ್ಯೂಲನ, ಸಮನ್ವಯ, ಅಳವಡಿಕೆ",,,,,,,,,
,Amplitude modulation,ಅಳವಡಿಕೆ ಪಾರ,,,,,,,,,
,Ampulla,ನಾಳ ಉಬ್ಬು,,,,,,,,,
,Amputation,"ಅಂಗಛೇದನ, ಕತ್ತರಿಸು",,,,,,,,,
,Amygdaloidal,ಬಾದಾಮಿ ಆಕಾರದ,,,,,,,,,
,Anabolism,ಉಪಚಯ,,,,,,,,,
,Anabolism,ಉಪಾಚಯ,,,,,,,,,
,Anaemia,"ರಕ್ತಹೀತನೆ, ರಕ್ತಕೊರೆ, ಅನೀಮಿಯ",,,,,,,,,
,Anaerobe,ಅವಾಯುಜೀವಿ,,,,,,,,,
,Anaerobic,"ಅವಾಯು, ನಿರ್ಗಾಳಿ",,,,,,,,,
,Anaerobic,ಅವಾಯುಜೀವಕ,,,,,,,,,
,Anaesthetic,"ಅರಿವಳಿಕ, ಸಂವೇದನಾಹಾರಿ",,,,,,,,,
,Anal,ಗುದದ,,,,,,,,,
,Analgesia,"ನೋವುನಿವಾರಣೆ, ನೋವರಿವಳಿಕೆ",,,,,,,,,
,Analgesic,"ನೋವುಶಾಮಕ, ನೋವು ಅರವಳಿಕ",,,,,,,,,
,Analgesic,"ನೋವುನಿವಾರಕ, ನೋವರಿವಳಿಕೆ",,,,,,,,,
,Analog,ಸದೃಶ,,,,,,,,,
,Analog,"ಸಾದೃಶ್ಯ, ಸಾದೃಶ್ಯತೆ",,,,,,,,,
,Analogy,ಸಾದೃಶ್ಯ,,,,,,,,,
,Analyse,ವಿಶ್ಲೇಷಿಸು,,,,,,,,,
,Analyser,ವಿಶ್ಲೇಷಕ,,,,,,,,,
,Analysis,ವಿಶ್ಲೇಷಣೆ,,,,,,,,,
,Analytical Angle,ವಿಶ್ಲೇಷಕ,,,,,,,,,
,Analytical geometry,"ವಿಶ್ಲೇಷಕ ಜ್ಯಾಮಿತಿ, ವಿಶ್ಲೇಷಕ ಬೀಜರೇಖಾಗಣಿತ",,,,,,,,,
,Analytical graphics,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ದೃಶ್ಯಸಂಯೋಜನೆ,,,,,,,,,
,Anandrous,ಕೇಸರರಹಿತ,,,,,,,,,
,Ananthrous,ಪರಾಗಾಶಯರಹಿತ,,,,,,,,,
,Anastomosis,"ಸೇರಿಕೆ, ಸೇಪರ್ಡೆ",,,,,,,,,
,Anatomy,"ಶರೀರರಚನಾವಿಜ್ಞಾನ, ಅಂಗರಚನಾವಿಜ್ಞಾನ",,,,,,,,,
,AND,ಅಂಡ್ (ಬೂಲಿಯನ್ ತರ್ಕದಲ್ಲಿ ಬಳಕೆಯಾಗುವ ಲಾಜಿಕ್ ಗೇಟ್ಗಳಲ್ಲೊಂದು),,,,,,,,,
,Androecium,ಕೇಸರಮಂಡಲ,,,,,,,,,
,Anemophilous,ವಾಯುಪರಾಗಣ,,,,,,,,,
,Anesthesia,"ಅನಸ್ತೀಸಿಯ, ಅರಿವಳಿಕೆ",,,,,,,,,
,Angina pectoris,ಎದೆಶೂಲೆ,,,,,,,,,
,Angioplasty,"ಧಮನಿ ಸುರೂಪಿಕೆ, ಧಮಿನಿ ಸುರೂಪಿಕೆ",,,,,,,,,
,Angiosperm,ಆವೃತಬೀಜಿ,,,,,,,,,
