ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Appellant,ಅಪೀಲುದಾರ; ಮೇಲ್ಮನವಿದಾರ,,,,,,,,,
,Appellate,ಅಪೀಲಿನ; ಮೇಲ್ಮನವಿಯ,,,,,,,,,
,Appellate authority,ಅಪೀಲು ಪ್ರಾಧಿಕಾರ,,,,,,,,,
,Appellate court,ಅಪೀಲು ನ್ಯಾಯಾಲಯ,,,,,,,,,
,Appellate jurisdiction,ಅಪೀಲು ಅಧಿಕಾರವ್ಯಾಪ್ತಿ,,,,,,,,,
,Appellate officers,ಅಪೀಲು ಅಧಿಕಾರಿಗಳು,,,,,,,,,
,Appellate tribunal,ಅಪೀಲು ನ್ಯಾಯಾಧಿಕರಣ,,,,,,,,,
,Append,ಜೋಡಿಸು; ಸೇರಿಸು,,,,,,,,,
,Appendix,ಪರಿಶಿಷ್ಟ ಅನುಬಂಧ; ಸಹಬಂಧ,,,,,,,,,
,Applicability,ಅನ್ವಯಸಾಧ್ಯತೆ; ಬಳಸಲು ಬರುವಿಕೆ,,,,,,,,,
,Application for licence,ಲೈಸೆನ್ಸ್‌ ಗಾಗಿ ಅರ್ಜಿ,,,,,,,,,
,Application for maintenance,ಜೀವನಾಂಶಕ್ಕಾಗಿ ಅರ್ಜಿ,,,,,,,,,
,Application for registration,ನೋಂದಣಿಗಾಗಿ ಅರ್ಜಿ,,,,,,,,,
,Application for restitution,ಪೂರ್ವಸ್ಥಿತಿ ಪ್ರಾಪ್ತಿಗಾಗಿ ಅರ್ಜಿ,,,,,,,,,
,Application for review,ಪುನರವಲೋಕನಕ್ಕಾಗಿ ಅರ್ಜಿ,,,,,,,,,
,Application for withdrawal,ಹಿಂತೆಗೆದುಕೊಳ್ಳುವುದಕ್ಕಾಗಿ ಅರ್ಜಿ,,,,,,,,,
,Appointment,1. ನೇಮಕ; ನೇಮಕಾತಿ 2. ನೌಕರಿ; ಹುದ್ದೆ 3. ಭೇಟಿಯ ವ್ಯವಸ್ಥೆ,,,,,,,,,
,Appointment of commissioner,ಆಯುಕ್ತರ ನೇಮಕ,,,,,,,,,
,Appointment of registrar,ರಿಜಿಸ್ಟ್ರಾರ ನೇಮಕ,,,,,,,,,
,Apportion,ಹಂಚು; ಪಾಲುಮಾಡು; ಭಾಗ ಮಾಡಿಕೊಡು,,,,,,,,,
,Apportionment,ಹಂಚಿಕೆ; ಪಾಲುಮಾಡುವಿಕೆ,,,,,,,,,
,Apportionment of cost,ಖರ್ಚಿನ ಹಂಚಿಕೆ,,,,,,,,,
,Apprehend,1. ಗ್ರಹಿಸು 2. ಶಂಕಿಸು 3. ಬಂಧಿಸು,,,,,,,,,
,Apprentice,ಅಪ್ರೆಂಟಿಸ್; ಅಭ್ಯಾಸಿ; ಹೊಸದಾಗಿ ಕೆಲಸ ಕಲಿಯುವವನು,,,,,,,,,
,Apprentice act 1961,ಅಪ್ರೆಂಬಿಸ್‌ ಅಧಿನಿಯಮ 1961,,,,,,,,,
,Apprentice card,ಅಪ್ರೆಂಟಿಸ್‌ ಕಾರ್ಡು,,,,,,,,,
,Apprentice rules 1961,ಅಪ್ರೆಂಟಿಸ್‌ ನಿಯಮಗಳು 1961,,,,,,,,,
,Apprenticeship advisor,ಉಮೇದುವಾರಿಕೆ ಸಲಹೆಗಾರ,,,,,,,,,
,Approach,1. ಸಮೀಪಿಸು 2. ಪ್ರಸ್ತಾಪಿಸು,,,,,,,,,
,Appropriate,ಸೂಕ್ತ; ಯುಕ್ತ; ತಕ್ಕ,,,,,,,,,
,Appropriate charges,ಸೂಕ್ತ ಆಪಾದನೆಗಳು,,,,,,,,,
,Arbitration,ಮಧ್ಯಸ್ಥಿಕೆ; ಪಂಚಾಯಿತಿ,,,,,,,,,
,Arbitration act,ಮಧ್ಯಸ್ಥಿಕೆ ಅಧಿನಿಯಮ,,,,,,,,,
,Arbitration agreement,ಮಧ್ಯಸ್ಥಿಕೆ ಒಪ್ಪಂದ,,,,,,,,,
,Arbitration award,ಮಧ್ಯಸ್ಥಿಕೆ ಐತೀರ್ಪು,,,,,,,,,
,Arbitration board,ಮಧ್ಯಸ್ಥಿಕೆ ಮಂಡಳಿ,,,,,,,,,
,Arbitration clause,ಮಧ್ಯಸ್ಥಿಕೆ ಖಂಡ,,,,,,,,,
,Arbitration proceedings,ಮಧ್ಯಸ್ಥಿಕೆ ವ್ಯವಹರಣೆಗಳು,,,,,,,,,
,Arbitrator,ಮಧ್ಯಸ್ಥ; ಪಂಚಾಯಿತಿದಾರ,,,,,,,,,
,Assault,1. ಮೇಲೆ ಬೀಳು; ಆಕ್ರಮಣ ಮಾಡು 2. ಮೇಲೆ ಬೀಳುವಿಕೆ; ಆಕ್ರಮಣ,,,,,,,,,
,Assess,1. (ಮೊತ್ತವನ್ನು) ಗೊತ್ತು ಮಾಡು; ನಿಗದಿಪಡಿಸು 2. ಬೆಲೆಕಟ್ಟು 3. ತೆರಿಗೆ ಹಾಕು,,,,,,,,,
,Assessor,1. ನ್ಯಾಯದರ್ಶಿ 2. ಬೆಲೆ ಕಟ್ಟುವವನು 3. ಕರನಿರ್ಧಾರಕ,,,,,,,,,
,Assets and liabilities:,ಆಸ್ತಿ ಮತ್ತು ಹೊಣೆಗಳು,,,,,,,,,
,Assign,1. ವಹಿಸಿಕೊಡು 2. ನೇಮಿಸು 3. ಹಂಚಿಕೊಡು,,,,,,,,,
,Assignee,ಬದಲಿ; ಪ್ರತಿನಿಧಿ; ಇನ್ನೊಬ್ಬನಿಗೆ ಬದಲಾಗಿ ವರ್ತಿಸಲು ನೇಮಕವಾದವನು,,,,,,,,,
,Assistant labour commissioner,ಸಹಾಯಕ ಕಾರ್ಮಿಕ ಆಯುಕ್ತ,,,,,,,,,
,Association,ಸಂಘ; ಸಂಸ್ಥೆ,,,,,,,,,
,Attainment,ಸಾಧನೆ; ಸಾಧಿಸುವುದು,,,,,,,,,
,Attendance bonus,ಹಾಜರಿ ಬೋನಸ್ಸು; ನಿಗದಿತ ಹಾಜರಾತಿಗೆ ಉತ್ತೇಜನವಾಗಿ ಕೊಡುವ ಹಣ,,,,,,,,,
,Attribute,ಆರೋಪಿಸು; ಆಧ್ಯಾರೋಪಿಸು; ಸಂಬಂಧಿಸಿ ಹೇಳು,,,,,,,,,
,Audit,1. ಲೆಕ್ಕ ಪರಿಶೋಧಿಸು 2. ಲೆಕ್ಕಪರಿಶೋಧನೆ,,,,,,,,,
,Audit report,ಲೆಕ್ಕ ಪರಿಶೋಧನ ವರದಿ,,,,,,,,,
,Auditing of accounts,ಲೆಕ್ಕಪತ್ರಗಳ ಪರಿಶೋಧನೆ,,,,,,,,,
,Auditor,ಲೆಕ್ಕ ಪರಿಶೋಧಕ,,,,,,,,,
,Authentic,ಅಧಿಕೃತ; ನಂಬಲರ್ಹ; ನೈಜ,,,,,,,,,
,Authorisation,ಆಧಿಕೃತಗೊಳಿಸುವಿಕೆ,,,,,,,,,
,Authorised medical practitioner,ಅಧಿಕೃತ ವೈದ್ಯ ವೃತ್ತಿಗಾರ,,,,,,,,,
,Authority,1. ಅಧಿಕಾರ 2. ಅಧಿಕಾರಿ 3. ಪರಿಣತ 4. ಪ್ರಾಧಿಕಾರ,,,,,,,,,
,Available surplus,ಲಭ್ಯವಿರುವ ಹೆಚ್ಚುವರಿ,,,,,,,,,
,Average wages,ಸರಾಸರಿ ಸಂಬಳ,,,,,,,,,
,Award,1. ಕೊಡು; ತೀರ್ಪುಕೊಡು 2. ಐತೀರ್ಪು; ತೀರ್ಪು; ನ್ಯಾಯನಿರ್ಣಯ 3. ಪ್ರಶಸ್ತಿ,,,,,,,,,
,Bailable,ಜಾಮೀನೀಯ; ಜಾಮೀನಿನ ಮೇಲೆ ಬಿಡಬಹುದಾದ,,,,,,,,,
,Balance sheet,ಆಯವ್ಯಯ ಪಟ್ಟಿ; ಜಮಾ ಖರ್ಚು ಪಟ್ಟಿ; ಅಡಾವೆ ಪಟ್ಟಿ,,,,,,,,,
,Ballot box,ಮತಪಟ್ಟಿಗೆ,,,,,,,,,
,Ballot paper,ಮತಪತ್ರ,,,,,,,,,
,Bar of suit,ದಾವೆ ಪ್ರತಿಷೇಧ,,,,,,,,,
,Barman,ಬಾರ್‌ಮನ್‌; ಪಾನಪರಿಚಾರಕ,,,,,,,,,
,Base year,ಆಧಾರ ವರ್ಷ; ಮೂಲವರ್ಷ,,,,,,,,,
,Basic pay,ಮೂಲವೇತನ,,,,,,,,,
,Basic training,ಮೂಲತರಬೇತಿ,,,,,,,,,
,Basic wages,ಮೂಲಮಜೂರಿ,,,,,,,,,
,Beedi and cigar workers (conditions of employment) act 1966,ಬೀಡಿ ಮತ್ತು ಸಿಗಾರ್‌ ಕೆಲಸಗಾರರ (ಉದ್ಯೋಗ ಷರತ್ತುಗಳ) ಅಧಿನಿಯಮ 1966,,,,,,,,,
,Beedi workers welfare cess act 1976,ಬೀಡಿ ಕೆಲಸಗಾರರ ಕಲ್ಯಾಣ ಉಪಕರ ಅಧಿನಿಯಮ 1976,,,,,,,,,
,Benefit,1. ಲಾಭಪಡೆ 2. ಲಾಭ; ಪ್ರಯೋಜನ; ಸೌಲಭ್ಯ,,,,,,,,,
,Bilateral,ದ್ವಿಪಕ್ಷೀಯ,,,,,,,,,
,Bilateral action,ದ್ವಿಪಕ್ಷೀಯ ಕ್ರಮ,,,,,,,,,
,Bilateral agreement,ದ್ವಿಪಕ್ಷೀಯ ಒಪ್ಪಂದ,,,,,,,,,
,Bilateral and unilateral contracts,ದ್ವಿಪಕ್ಷೀಯ ಮತ್ತು ಏಕಪಕ್ಷೀಯ ಕರಾರುಗಳು,,,,,,,,,
,Bilateral trade agreements,ದ್ವಿಪಕ್ಷೀಯ ವ್ಯಾಪಾರಿ ಒಪ್ಪಂದಗಳು,,,,,,,,,
,Blacksmith,ಕಮ್ಮಾರ,,,,,,,,,
,Board,ಮಂಡಳಿ,,,,,,,,,
,Board of trustees,ಧರ್ಮದರ್ಶಿ ಮಂಡಳಿ,,,,,,,,,
,Bodily injury,ದೈಹಿಕ ಕ್ಷತಿ; ದೇಹದ ಗಾಯ,,,,,,,,,
,Boiler attendant,ಬಾಯ್ಲರ್‌ ಅಟಿಂಡೆಂಟ್‌,,,,,,,,,
,Boilers act 1923,ಬಾಯ್ಲರ್‌ ಅಧಿನಿಯಮ 1923,,,,,,,,,
,Bona fide,1. ಪ್ರಾಮಾಣಿಕ; ಸದುದ್ದೇಶದ 2. ನಿಜವಾದ; ವಾಸ್ತವಿಕ,,,,,,,,,
,Bonafide dispute,ನಿಜವಾದ ವಿವಾದ,,,,,,,,,
,Bonafide error,ಪ್ರಾಮಾಣಿಕವಾದ ತಪ್ಪು,,,,,,,,,
,Bonafide holder,ವಾಸ್ತವಿಕ ಹಿಡುವಳಿದಾರ,,,,,,,,,
,Bonafide occupation,ವಾಸ್ತವಿಕ ಅಧಿಭೋಗ,,,,,,,,,
,Bonded labour system act 1976,ಜೀತದಾಳು ಪದ್ಧತಿ ಅಧಿನಿಯಮ 1976,,,,,,,,,
,Bonus,ಬೋನಸ್‌,,,,,,,,,
,Book binder,ಬುಕ್‌ ಬೈಂಡರ್‌; ರಟ್ಟು ಕಟ್ಟುವವನು,,,,,,,,,
,Booking clerk,ಬುಕಿಂಗ್‌ ಕ್ಲಾರ್ಕ್‌; ಬುಕಿಂಗ್‌ ಗುಮಾಸ್ತ,,,,,,,,,
,Bookkeeping,ಬುಕ್‌ಕೀಪಿಂಗ್‌; ಲೆಕ್ಕ ಇಡುವುದು,,,,,,,,,
,Books of account,ಲೆಕ್ಕದ ಪುಸ್ತಕಗಳು,,,,,,,,,
,Breach,ಉಲ್ಲಂಘನೆ; ಭಂಗ,,,,,,,,,
,Breach of contract,ಕರಾರುಭಂಗ; ಕರಾರು ಉಲ್ಲಂಘನೆ; ಒಪ್ಪಂದ ಉಲ್ಲಂಘನೆ,,,,,,,,,
,Breach of peace,ಶಾಂತಿಭಂಗ,,,,,,,,,
,Breach of rules,ನಿಯಮಗಳ ಉಲ್ಲಂಘನೆ,,,,,,,,,
,Breach of terms,ನಿಬಂಧನೆಗಳ ಉಲ್ಲಂಘನೆ,,,,,,,,,
,Breach of trust,ವಿಶ್ವಾಸಭಂಗ; ನಂಬಿಕೆದ್ರೋಹ,,,,,,,,,
,Brick kiln,ಇಟ್ಟಿಗೆಗೂಡು,,,,,,,,,
,Brick mason,ಇಟ್ಟಿಗೆ ಕಟ್ಟಡ ಕಟ್ಟುವವನು,,,,,,,,,
,Bricklayer,ಇಟ್ಟಿಗೆ ಕೆಲಸ ಮಾಡುವವನು; ಉಪ್ಪಾರ,,,,,,,,,
,Budget,ಬಜೆಟ್‌; ಆಯವ್ಯಯ,,,,,,,,,
,Budget allotment,ಬಜೆಟ್‌ ಹಂಚಿಕೆ,,,,,,,,,
,Budget estimate,ಬಜೆಟ್‌ ಅಂದಾಜು,,,,,,,,,
,Budgetary grants,ಅಂದಾಜು ಪತ್ರದ ಅನುದಾನಗಳು,,,,,,,,,
,Building contract,ಕಟ್ಟಡದ ಗುತ್ತಿಗೆ,,,,,,,,,
,Burden of proof,ರುಜುವಾತಿನ ಭಾರ / ಹೊಣೆ,,,,,,,,,
,Business,ವ್ಯವಹಾರ,,,,,,,,,
,By Order,ಆದೇಶದ ಮೂಲಕ,,,,,,,,,
,By product,ಉಪೋತ್ಸತ್ತಿ,,,,,,,,,
,By registered post acknowledgement due,ತಲುಪೊಪ್ಪಿಗೆ ನಿರೀಕ್ಷಿಸಿ ನೋಂದಾಯಿತ ಅಂಚೆಯ ಮೂಲಕ,,,,,,,,,
,By virtue of,ಕಾರಣದಿಂದಾಗಿ; ಆಧಾರದ ಮೇಲೆ,,,,,,,,,
,By way of penalty,ದಂಡದ ರೂಪದಲ್ಲಿ,,,,,,,,,
,Bye law,ಬೈಲಾ; ಉಪವಿಧಿ,,,,,,,,,
,Cabinet maker,ಅಲಮಾರು ತಯಾರಕ; ಕಪಾಟು ಮಾಡುವವ,,,,,,,,,
,Calamity,ಆಪತ್ತು; ವಿಪತ್ತು; ಕೇಡು,,,,,,,,,
,Calculation,ಗಣನೆ; ಲೆಕ್ಕಾಚಾರ (ಮಾಡುವುದು),,,,,,,,,
,Calendar month,"ಕ್ಯಾಲೆಂಡರ್‌ ತಿಂಗಳು; ಜನವರಿ, ಫೆಬ್ರವರಿ ಮೊ. ಯಾವುದೇ ತಿಂಗಳು",,,,,,,,,
,Calendar year,ಕ್ಯಾಲೆಂಡರ್‌ ವರ್ಷ; ಜನವರಿ ಒಂದನೆಯ ದಿನಾಂಕದಿಂದ ಡಿಸೆಂಬರ್‌ 31ರ ವರೆಗಿನ ವರ್ಷ,,,,,,,,,
,Calling,ಉದ್ಯೋಗ; ಕಸುಬು; ವೃತ್ತಿ,,,,,,,,,
,Camp,ಶಿಬಿರ; ಬಿಡಾರ; ಮೊಕ್ಕಾಂ,,,,,,,,,
,Candidate,ಅಭ್ಯರ್ಥಿ; ಉಮೇದುವಾರ,,,,,,,,,
,Canteen supervisor,ಕ್ಯಾಂಟೀನ್‌ ಮೇಲ್ವಿಚಾರಕ,,,,,,,,,
,Capacity for work,ಕೆಲಸ ಮಾಡುವ ಸಾಮರ್ಥ್ಯ,,,,,,,,,
,Capital,ಬಂಡವಾಳ; ಮೂಲಧನ; ಅಸಲು,,,,,,,,,
,Capital investment,ಬಂಡವಾಳ ಹೂಡಿಕೆ,,,,,,,,,
,Capital structure,ಬಂಡವಾಳ ರಚನೆ,,,,,,,,,
,Carpenter,ಬಡಗಿ; ಮರಗೆಲಸದವನು,,,,,,,,,
,Carpentry,ಮರಗೆಲಸ; ಬಡಗಿಯ ಉದ್ಯೋಗ,,,,,,,,,
,Cash,ನಗದು; ನಗದಿ,,,,,,,,,
,Cash balance,ನಗದು ಶಿಲ್ಕು,,,,,,,,,
,Cash clerk,ನಗದಿ ಗುಮಾಸ್ತ,,,,,,,,,
,Cash deposit,ನಗದು ಠೇವಣಿ,,,,,,,,,
,Cashier,ಕ್ಯಾಷಿಯರ್‌; ಸರಾಫ್‌; ನಗದಿಗ,,,,,,,,,
,Casual leave,ಸಾಂದರ್ಭಿಕ / ಕಿರುಕುಳ ರಜೆ,,,,,,,,,
,Casual workman,ಕ್ಯಾಜ್ಯುಅಲ್‌ / ಸಾಂದರ್ಭಿಕ ಕೆಲಸಗಾರ,,,,,,,,,
,Catastrophe,ಮಹಾದುರಂತ; ದೊಡ್ಡ ಕೇಡು,,,,,,,,,
,Category,ವರ್ಗ; ತರಗತಿ; ಪಂಗಡ,,,,,,,,,
,Catering technology,ಆಹಾರಪೂರೈಕೆ ತಂತ್ರಜ್ಞಾನ,,,,,,,,,
,Cement industry,ಸಿಮೆಂಟ್‌ ಕೈಗಾರಿಕೆ,,,,,,,,,
,Central advisory board,ಕೇಂದ್ರ ಸಲಹಾ ಮಂಡಳಿ,,,,,,,,,
,Central advisory committee,ಕೇಂದ್ರ ಸಲಹಾ ಸಮಿತಿ,,,,,,,,,
,Central apprenticeship council,ಕೇಂದ್ರ ಅಪ್ರೆಂಟಿಸ್‌ಷಿಪ್‌ ಪರಿಷತ್ತು,,,,,,,,,
,Central apprenticeship council rules 1962,ಕೇಂದ್ರ ಅಪ್ರೆಂಟಿಸ್‌ಷಿಪ್‌ ಪರಿಷತ್ತು ನಿಯಮಗಳು 1962,,,,,,,,,
